time files tags numtags
0.143495 71 503 4 
0.167684 142 506 1 
0.100204 710 522 4 
0.0883 1481 544 3 
0.084797 1771 552 2 
0.098991 5519 659 4 
0.079729 5595 661 1 
0.101524 7156 706 4 
0.096064 7183 707 4 
0.156674 8014 730 2 
0.123598 9064 760 1 
0.095226 10414 799 3 
0.100409 10553 803 4 
0.129999 11231 822 8 
0.146024 12645 863 10 
0.09508 13155 877 4 
0.092238 15476 944 3 
0.11294 17468 1001 5 
0.096136 19258 1052 3 
0.081191 19737 1066 1 
0.066367 21040 1103 0 
0.131258 21188 1107 6 
0.120396 22865 1155 5 
0.083462 23000 1159 1 
0.094454 23232 1166 3 
0.166785 23781 1181 12 
0.083936 28431 1314 1 
0.113343 30378 1370 7 
0.100776 30672 1378 4 
0.089735 30782 1382 2 
0.083646 31039 1389 2 
0.081704 32508 1431 1 
0.080493 32865 1441 1 
0.094563 33374 1456 2 
0.111326 33645 1464 6 
0.082617 34814 1497 1 
0.116623 36584 1548 7 
0.081524 39698 1637 1 
0.064289 40064 1647 0 
0.095036 40575 1662 1 
0.104783 41034 1675 3 
0.116182 43864 1756 7 
0.106671 44083 1762 5 
0.096448 44894 1786 0 
0.083768 46051 1819 2 
0.157343 46231 1824 8 
0.158682 47766 1868 5 
0.092337 47775 1868 3 
0.095605 49028 1904 4 
0.14276 49059 1905 9 
0.085485 49336 1913 2 
0.082488 49469 1917 1 
0.120638 50002 1932 7 
0.142409 50474 1945 8 
0.182367 51505 1975 11 
0.167706 53146 2022 10 
0.085101 55648 2094 2 
0.097693 56627 2122 4 
0.09366 56851 2128 3 
0.105834 56932 2130 5 
0.08317 58080 2163 2 
0.162663 58485 2175 11 
0.097005 58867 2186 1 
0.101608 59018 2190 4 
0.081952 60196 2224 1 
0.116692 60934 2245 7 
0.153885 63773 2326 11 
0.0823 65231 2368 1 
0.124008 65233 2368 7 
0.110614 66744 2412 6 
0.087197 69224 2483 2 
0.080054 69808 2499 1 
0.086078 70210 2511 2 
0.081978 73736 2612 1 
0.102395 75030 2649 5 
0.091072 76682 2697 3 
0.095804 77082 2708 5 
0.085145 78624 2753 2 
0.091326 78760 2756 3 
0.08593 78869 2760 2 
0.107862 79348 2773 5 
0.081754 79740 2785 1 
0.09718 81678 2840 4 
0.098486 82114 2853 4 
0.117008 83105 2881 7 
0.108803 84956 2934 5 
0.089629 86305 2973 2 
0.086366 90705 3099 2 
0.093061 92419 3149 3 
0.133367 93140 3169 3 
0.114255 93593 3182 2 
0.129728 93807 3189 4 
0.105245 94459 3207 5 
