time files tags
0.057354 71 504 
0.089426 142 507 
0.042668 710 523 
0.042014 1481 545 
0.042131 1771 553 
0.042078 5519 660 
0.040681 5595 662 
0.041359 7156 707 
0.041815 7183 708 
0.073543 8014 731 
0.064572 9064 761 
0.040588 10414 800 
0.042606 10553 804 
0.1227 11231 823 
0.040532 12645 864 
0.040806 13155 878 
0.039631 15476 945 
0.040272 17468 1002 
0.042779 19258 1053 
0.038968 19737 1067 
0.04136 21040 1104 
0.041754 21188 1108 
0.041137 22865 1156 
0.040961 23000 1160 
0.041249 23232 1167 
0.040464 23781 1182 
0.039465 28431 1315 
0.041592 30378 1371 
0.050344 30672 1379 
0.039776 30782 1383 
0.041474 31039 1390 
0.041279 32508 1432 
0.084673 32865 1442 
0.041286 33374 1457 
0.03965 33645 1465 
0.042131 34814 1498 
0.043484 36584 1549 
0.040802 39698 1638 
0.039435 40064 1648 
0.042794 40575 1663 
0.042572 41034 1676 
0.039079 43864 1757 
0.040885 44083 1763 
0.065277 44894 1787 
0.039617 46051 1820 
0.048924 46231 1825 
0.071279 47766 1869 
0.040734 47775 1869 
0.040589 49028 1905 
0.040784 49059 1906 
0.041919 49336 1914 
0.038559 49469 1918 
0.040322 50002 1933 
0.039356 50474 1946 
0.137529 51505 1976 
0.038617 53146 2023 
0.040391 55648 2095 
0.041409 56627 2123 
0.041101 56851 2129 
0.040122 56932 2131 
0.042162 58080 2164 
0.042642 58485 2176 
0.038727 58867 2187 
0.042572 59018 2191 
0.040327 60196 2225 
0.041128 60934 2246 
0.042358 63773 2327 
0.040459 65231 2369 
0.042919 65233 2369 
0.039602 66744 2413 
0.041445 69224 2484 
0.039712 69808 2500 
0.040408 70210 2512 
0.04156 73736 2613 
0.040392 75030 2650 
0.041158 76682 2698 
0.036006 77082 2709 
0.040238 78624 2754 
0.042114 78760 2757 
0.039959 78869 2761 
0.042513 79348 2774 
0.042142 79740 2786 
0.040814 81678 2841 
0.044703 82114 2854 
0.041482 83105 2882 
0.043354 84956 2935 
0.041166 86305 2974 
0.040898 90705 3100 
0.039482 92419 3150 
0.056671 93140 3170 
0.053192 93593 3183 
0.053983 93807 3190 
0.041266 94459 3208 
0.040227 96861 3277 
0.0412 98333 3320 
0.039826 98732 3331 
0.040637 98924 3337 
0.040357 99255 3346 
0.040164 102177 3430 
0.042187 102800 3448 
0.039825 104450 3495 
0.040235 104517 3497 
0.03945 107037 3570 
0.040353 107223 3575 
0.039391 107605 3586 
0.050793 107901 3595 
0.040583 107935 3596 
0.040434 108624 3615 
0.041765 108967 3626 
0.041027 110361 3665 
0.039861 110451 3668 
0.042552 111824 3708 
0.041062 112830 3737 
0.042318 113585 3758 
0.042361 113807 3765 
0.04004 114971 3798 
0.041723 115719 3819 
0.039048 116711 3848 
0.040279 118851 3910 
0.042115 119004 3914 
0.041491 121958 3999 
0.041086 122503 4015 
0.048934 124176 4063 
0.03805 125066 4089 
0.042252 125839 4111 
0.044152 126767 4138 
0.040997 128548 4189 
0.040982 129433 4215 
0.042076 129447 4215 
0.044394 134452 4359 
0.043212 134545 4362 
0.040986 135422 4387 
0.039791 138013 4462 
0.043349 138165 4466 
0.041883 138282 4470 
0.041168 139093 4493 
0.042876 139097 4493 
0.043007 140782 4542 
0.041026 141249 4555 
0.041409 141366 4558 
0.039432 142440 4589 
0.040077 146712 4713 
0.040499 147207 4727 
0.039405 149526 4794 
0.03975 152068 4867 
0.040451 152940 4892 
0.040001 154768 4945 
0.040604 155030 4953 
0.039064 155062 4954 
0.050169 155844 4976 
0.042306 158744 5002 
0.0484 159027 5002 
0.041295 160186 5002 
0.039614 160378 5002 
0.045313 161963 5002 
0.039532 162072 5002 
0.040752 163115 5002 
0.040871 164942 5002 
0.059504 168538 5002 
0.041397 169559 5002 
0.041676 169801 5002 
