time files tags numfiles
0.001601 710 522 1
0.001462 1771 552 1
0.001747 5519 659 1
0.003782 5595 661 8
0.001866 7156 706 1
0.002243 9064 760 1
0.001853 10553 803 1
0.007208 12645 863 26
0.00209 13155 877 1
0.001729 17468 1001 1
0.009771 19258 1052 35
0.010469 19737 1066 38
0.014017 21188 1107 38
0.015095 23000 1159 46
0.003275 23232 1166 3
0.001623 30378 1370 1
0.013029 30672 1378 55
0.002481 30782 1382 2
0.001657 31039 1389 1
0.018653 33374 1456 69
0.018657 33645 1464 60
0.001653 34814 1497 1
0.001802 36584 1548 1
0.001668 40064 1647 1
0.023017 40575 1662 80
0.023001 41034 1675 81
0.018933 43864 1756 85
0.017877 46051 1819 77
0.031357 46231 1824 94
0.021371 47775 1868 95
0.001709 49028 1904 1
0.001971 49469 1917 1
0.018472 50002 1932 83
0.003276 50474 1945 3
0.00173 51505 1975 1
0.033763 53146 2022 117
0.026601 56851 2128 121
0.028796 56932 2130 124
0.004363 58080 2163 8
0.028121 60196 2224 132
0.001681 60934 2245 1
0.001609 65231 2368 1
0.002006 65233 2368 1
0.030595 66744 2412 145
0.002128 69224 2483 1
0.031653 73736 2612 152
0.00179 78624 2753 1
0.001972 78760 2756 1
0.035094 79348 2773 163
0.033834 81678 2840 169
0.002561 83105 2881 1
0.001903 86305 2973 1
0.001499 90705 3099 1
0.038369 92419 3149 185
0.002634 93593 3182 1
0.045306 93807 3189 190
0.040125 94459 3207 192
0.00178 96861 3276 1
0.001814 98732 3330 1
0.043149 99255 3345 202
0.011647 102177 3429 47
0.040906 104450 3494 208
0.025797 104517 3496 121
0.001844 107037 3569 1
0.001754 107223 3574 1
0.002869 107901 3594 1
0.022085 108624 3614 96
0.048439 108967 3625 231
0.050539 110361 3664 226
0.046486 110451 3667 227
0.046003 112830 3736 229
0.0018 113585 3757 1
0.049433 113807 3764 242
0.003074 115719 3818 2
0.038341 116711 3847 183
0.034671 118851 3909 169
0.00177 119004 3913 1
0.001631 121958 3998 1
0.001853 125066 4088 1
0.059301 128548 4188 260
0.002034 129433 4214 1
0.056663 129447 4214 273
0.002019 134452 4358 1
0.064359 134545 4361 273
0.048751 135422 4386 231
0.053649 138013 4461 272
0.001897 138165 4465 1
0.058152 138282 4469 280
0.063677 138578 4477 291
0.002707 139093 4492 3
0.066767 139097 4492 289
0.060324 140782 4541 292
0.001668 141249 4554 1
0.069114 141366 4557 292
0.061442 146712 4712 300
0.002153 147207 4726 1
0.063581 149526 4793 305
0.001993 152940 4891 1
0.002156 155030 4952 1
0.002678 155844 4975 1
0.065398 159027 5001 318
0.067461 161963 5001 329
0.001918 162072 5001 1
0.00219 163115 5001 1
0.065454 168538 5001 339
0.001807 169559 5001 1
0.068656 169801 5001 344
0.00184 173382 5001 1
0.095871 173390 5001 351
0.089977 173716 5001 355
0.100354 175074 5001 355
0.075674 176237 5001 357
0.00187 176465 5001 1
0.00188 177060 5001 1
0.002494 179276 5001 1
0.071717 179709 5001 370
0.002796 180075 5001 1
0.002237 183287 5001 1
0.002461 183822 5001 1
0.081547 184233 5001 390
0.00279 186531 5001 1
0.002532 192588 5001 1
0.002124 192629 5001 1
0.001961 192711 5001 1
0.002136 192716 5001 1
0.08509 193062 5001 397
0.001694 194289 5001 1
0.082902 194536 5001 409
0.119658 195211 5001 411
0.132874 195495 5001 410
0.001723 197280 5001 1
0.001939 197667 5001 1
0.042056 198580 5001 206
0.001865 199600 5001 1
0.080813 200525 5001 414
0.040952 202191 5001 187
0.001994 203894 5001 1
0.085259 203917 5001 432
0.002106 205985 5001 1
0.001757 210942 5001 1
0.092026 212400 5001 442
0.065064 214402 5001 327
0.001689 219364 5001 1
0.106627 221701 5001 455
0.002611 223030 5001 1
0.091712 223944 5001 463
0.002012 224939 5001 1
0.096405 224995 5001 458
0.001743 227194 5001 1
0.002319 227518 5001 1
0.104343 229581 5001 478
0.001648 231005 5001 1
0.0552 233198 5001 276
0.001835 235000 5001 1
0.10147 235944 5001 490
0.055934 238860 5001 275
0.002099 239911 5001 1
0.002103 240318 5001 1
0.00307 245139 5001 2
0.002294 245276 5001 1
0.001725 245511 5001 1
0.00195 248792 5001 1
0.100559 250661 5001 516
0.108903 254784 5001 522
0.106439 259777 5001 530
0.110584 259882 5001 524
0.009518 261040 5001 33
0.023097 262717 5001 103
0.106047 263495 5001 542
0.108778 264453 5001 548
0.001886 264899 5001 1
0.107558 267203 5001 560
0.001807 269626 5001 1
0.002058 269671 5001 1
0.001752 269997 5001 1
0.001978 271539 5001 1
0.002056 272587 5001 1
0.005992 273889 5001 10
0.001687 274373 5001 1
0.052034 275316 5001 227
0.002146 276056 5001 1
0.112429 277465 5001 570
0.002526 279746 5001 2
0.001992 280077 5001 1
0.075866 282171 5001 387
0.113555 282743 5001 590
0.001885 285853 5001 1
0.001764 286281 5001 1
0.084835 287076 5001 424
0.009873 290235 5001 36
0.002162 291102 5001 1
0.002025 291266 5001 1
0.00158 294411 5001 1
0.001931 294866 5001 1
0.001315 421 513 1
0.00161 2456 572 1
0.005143 3981 615 8
0.004394 5021 645 11
0.005109 5502 659 14
0.001924 5715 665 2
0.001833 8623 748 2
0.001552 12974 872 1
0.00166 13011 873 1
0.001576 13305 882 1
0.013016 16138 963 33
0.001846 16185 964 1
0.013827 17804 1010 36
0.001971 20162 1078 1
0.002428 20695 1093 2
0.002011 21069 1104 1
0.015606 25207 1222 50
0.012596 26045 1246 52
0.001643 26146 1249 1
0.016067 26489 1259 58
0.016454 31760 1409 60
0.018419 33543 1460 69
0.018038 33544 1460 73
0.019553 36272 1538 77
0.001742 42096 1705 1
0.002173 42529 1718 1
0.001662 42985 1731 1
0.002012 43102 1734 1
0.002174 44521 1775 1
0.001919 44662 1779 1
0.023002 45399 1800 101
0.001978 46468 1830 1
0.02425 47639 1864 104
0.002309 48088 1877 2
0.001815 48673 1893 1
0.001835 50282 1940 1
0.001668 50375 1942 1
0.006223 50980 1960 32
0.001988 54245 2053 2
0.025519 56029 2104 117
0.002535 57095 2135 1
0.001505 59365 2200 1
0.030067 60808 2241 128
0.002389 61320 2256 2
0.002161 64764 2355 1
0.005523 64930 2360 32
0.032605 69453 2489 152
0.032036 70689 2525 147
0.002076 70716 2525 1
0.03151 71196 2539 157
0.001499 72602 2579 1
0.002167 74597 2637 1
0.002015 77713 2726 1
0.002191 79173 2768 2
0.001733 81335 2830 1
0.002387 81942 2848 2
0.024268 84114 2910 112
0.002101 84426 2919 1
0.040734 87641 3011 191
0.001931 88653 3040 1
0.048037 92041 3137 201
0.001625 95730 3243 1
0.001809 97834 3303 1
0.002264 98756 3330 1
0.001862 101526 3409 1
0.001701 101802 3417 1
0.044943 103297 3460 213
0.046961 104578 3497 223
0.052653 104822 3504 219
0.04822 106566 3554 227
0.043964 108758 3617 229
0.02405 109164 3629 108
0.049684 109400 3636 234
0.013085 109657 3643 51
0.001845 109866 3649 1
0.045919 111163 3686 239
0.001905 111515 3697 1
0.005247 111713 3702 24
0.002134 116708 3846 1
0.002519 116942 3853 1
0.003075 117448 3867 2
0.001667 120577 3957 1
0.002283 120662 3960 2
0.009591 121746 3991 33
0.027137 122909 4024 123
0.001607 124638 4074 1
0.059104 127939 4169 272
0.002151 128024 4172 1
0.061162 128364 4181 276
0.072416 133185 4320 289
0.063698 134482 4358 280
0.002595 135502 4387 1
0.069111 137363 4441 290
0.002268 145680 4680 1
0.061933 147768 4741 297
0.001858 150623 4823 1
0.073217 153261 4899 309
0.003343 154970 4948 2
0.092031 162327 5001 322
0.01509 165491 5001 60
0.001993 168470 5001 1
0.082668 168573 5001 339
0.001829 170002 5001 1
0.00191 170382 5001 1
0.088016 170778 5001 341
0.001765 172759 5001 1
0.082368 175762 5001 358
0.07384 176555 5001 275
0.001879 178358 5001 1
0.084962 178387 5001 363
0.001851 180688 5001 1
0.002329 181432 5001 1
0.045613 181638 5001 213
0.001629 184456 5001 1
0.084528 184974 5001 373
0.020529 186931 5001 92
0.002127 191059 5001 1
0.092665 192571 5001 387
0.081584 193154 5001 393
0.089878 195158 5001 396
0.00166 196770 5001 1
0.100401 198400 5001 408
0.002304 198459 5001 1
0.092228 198812 5001 412
0.040185 199003 5001 138
0.001789 200422 5001 1
0.039807 201675 5001 176
0.097556 203631 5001 435
0.090074 205902 5001 437
0.089177 208967 5001 439
0.002682 211290 5001 1
0.096884 219362 5001 448
0.115629 220831 5001 462
0.111138 221867 5001 463
0.001728 223668 5001 1
0.002921 224306 5001 3
0.072018 224371 5001 257
0.001984 227898 5001 1
0.085025 231805 5001 397
0.00177 231834 5001 1
0.049732 231846 5001 219
0.001662 233334 5001 1
0.106703 234482 5001 493
0.264317 235223 5001 499
0.001762 237641 5001 1
0.121964 238947 5001 484
0.126609 243051 5001 513
0.118757 244125 5001 516
0.109705 244313 5001 426
0.07306 245011 5001 330
0.113692 247442 5001 525
0.002085 248898 5001 1
0.002281 248932 5001 1
0.118175 249147 5001 527
0.001946 253601 5001 1
0.119694 257175 5001 546
0.002584 258854 5001 2
0.10588 261133 5001 555
0.001885 261515 5001 1
0.001926 261789 5001 1
0.011717 263037 5001 45
0.134956 263435 5001 559
0.002563 265955 5001 1
0.110328 270962 5001 574
0.049637 271720 5001 220
0.072986 271841 5001 258
0.125205 272715 5001 574
0.119864 274614 5001 581
0.002062 278139 5001 1
0.042507 281867 5001 198
0.001842 285176 5001 1
0.128389 288864 5001 608
0.146131 289383 5001 613
0.002134 289835 5001 1
0.001952 291990 5001 1
0.067166 293102 5001 302
0.003443 293704 5001 1
0.002065 294966 5001 1
0.001408 992 530 1
0.003367 2062 560 6
0.002043 2501 573 2
0.003485 3310 596 3
0.005504 6553 689 15
0.006464 7092 704 17
0.002225 7227 708 1
0.0015 7391 713 1
0.00228 8391 741 1
0.002232 12080 847 1
0.009959 12451 857 26
0.002004 14244 908 1
0.012171 17331 997 35
0.002262 17577 1004 1
0.010789 21526 1117 44
0.001657 22853 1155 1
0.013236 23296 1167 51
0.014001 26354 1255 58
0.001602 28833 1325 1
0.001472 32204 1422 1
0.016764 33199 1450 73
0.002107 33329 1454 1
0.005982 34028 1474 36
0.002323 34122 1477 2
0.017523 36234 1537 77
0.018543 36269 1538 80
0.001704 36619 1548 1
0.002207 37381 1570 2
0.00234 37409 1571 2
0.018952 38297 1596 87
0.002039 38416 1599 1
0.001579 39556 1632 1
0.00276 39664 1635 2
0.001812 40464 1658 1
0.001821 40777 1667 1
0.001905 41444 1686 1
0.001855 44888 1785 1
0.001584 45422 1800 1
0.001941 47134 1849 1
0.022196 51309 1969 102
0.001658 51730 1981 1
0.023542 52091 1991 108
0.00252 55860 2099 3
0.008471 58283 2168 29
0.002578 59814 2212 1
0.028122 61948 2273 131
0.027923 64955 2360 133
0.002069 65922 2387 1
0.030963 69036 2476 142
0.008799 69431 2488 30
0.045056 69595 2492 144
0.027318 75188 2653 125
0.002418 83527 2892 2
0.040445 85008 2935 165
0.053414 85454 2947 167
0.001564 87417 3004 1
0.03447 87767 3014 171
0.038442 89412 3061 179
0.002037 91358 3117 1
0.038096 92810 3159 181
0.002098 93305 3173 1
0.034429 95956 3249 155
0.002464 97487 3293 1
0.042262 98687 3328 190
0.042871 100167 3370 196
0.002351 101910 3421 1
0.052493 102029 3424 208
0.046091 102507 3438 206
0.043924 104207 3487 213
0.048728 108223 3602 215
0.057311 109029 3625 217
0.001889 109536 3640 1
0.001627 109746 3646 1
0.050451 111846 3706 234
0.047799 113210 3745 230
0.00168 116370 3836 1
0.001922 117904 3880 1
0.002096 120814 3964 1
0.050291 121374 3980 245
0.001717 122751 4020 1
0.001577 123870 4052 1
