time files tags associatedfiles
0.026489 71 503 1 
0.065257 142 506 2 
0.018583 710 522 1 
0.018321 1481 544 1 
0.076858 1771 552 5 
0.019413 5519 659 1 
1.01731 5595 661 73 
1.34964 7156 706 94 
0.076314 7183 707 5 
0.15781 8014 730 6 
3.14939 9064 760 145 
1.7792 10414 799 130 
0.004305 10553 803 0 
0.036283 11231 822 2 
0.0352 12645 863 2 
0.018837 13155 877 1 
3.24797 15476 944 228 
0.216024 17468 1001 15 
0.203358 19258 1052 14 
0.213924 19737 1066 15 
4.19185 21188 1107 300 
4.06286 22865 1155 294 
0.06329 23000 1159 4 
0.003927 23232 1166 0 
0.288736 23781 1181 20 
0.120986 28431 1314 8 
0.107759 30378 1370 7 
0.004116 30672 1378 0 
0.102145 30782 1382 7 
0.551045 31039 1389 29 
6.61942 32508 1431 472 
0.349515 32865 1441 23 
5.87031 33374 1456 408 
6.58282 33645 1464 458 
0.371732 34814 1497 26 
0.423813 36584 1548 30 
0.049033 39698 1637 3 
0.383404 40575 1662 27 
0.402425 41034 1675 28 
0.22899 43864 1756 16 
0.480062 44083 1762 35 
0.299738 46051 1819 21 
0.358566 46231 1824 25 
0.419622 47766 1868 18 
0.365219 47775 1868 26 
0.163976 49028 1904 11 
0.206867 49059 1905 14 
0.613377 49336 1913 43 
0.483365 49469 1917 34 
0.034984 50002 1932 2 
0.028916 50474 1945 1 
0.113983 51505 1975 5 
0.297262 53146 2022 20 
0.595426 55648 2094 42 
11.5236 56627 2122 810 
0.529612 56851 2128 24 
0.714409 56932 2130 51 
0.703564 58080 2163 48 
0.004892 58485 2175 0 
0.718582 58867 2186 44 
0.290685 60196 2224 21 
0.050706 60934 2245 3 
11.9263 63773 2326 839 
0.049206 65231 2368 3 
0.320244 65233 2368 23 
0.203382 66744 2412 14 
0.019928 69224 2483 1 
0.107011 69808 2499 7 
0.158999 70210 2511 11 
0.389775 73736 2612 27 
0.202242 75030 2649 14 
0.199859 76682 2697 14 
0.032168 77082 2708 2 
0.034412 78624 2753 2 
0.710369 78760 2756 50 
0.883554 78869 2760 62 
12.4294 79348 2773 900 
14.0928 81678 2840 1013 
0.036328 82114 2853 2 
0.341771 83105 2881 14 
0.902506 84956 2934 57 
1.0749 86305 2973 63 
1.09477 90705 3099 81 
1.09568 92419 3149 66 
0.137355 93140 3169 7 
20.3941 93593 3182 1100 
20.6855 93807 3189 1154 
0.109031 94459 3207 7 
0.108348 96861 3276 7 
1.43797 98333 3319 99 
0.106685 98732 3330 7 
0.104289 98924 3336 7 
0.178257 99255 3345 12 
0.033114 102177 3429 2 
0.00432 102800 3447 0 
1.17402 104450 3494 88 
0.213615 104517 3496 14 
0.811621 107037 3569 62 
18.486 107223 3574 1302 
0.550737 107605 3585 29 
0.109711 107901 3594 6 
0.631286 107935 3595 45 
0.00532 108624 3614 0 
0.218967 108967 3625 15 
0.345551 110361 3664 25 
0.004605 110451 3667 0 
1.32924 111824 3707 93 
0.534198 112830 3736 39 
0.461664 113585 3757 32 
1.61955 113807 3764 113 
0.840303 114971 3797 57 
0.108724 115719 3818 7 
0.163485 116711 3847 11 
20.7201 118851 3909 1448 
0.147946 119004 3913 10 
0.077929 121958 3998 5 
0.092738 122503 4014 6 
0.345664 124176 4062 23 
0.508343 125066 4088 37 
0.830738 125839 4110 58 
0.019905 126767 4137 1 
1.96699 128548 4188 129 
0.075712 129447 4214 5 
22.9316 134452 4358 1621 
0.004001 134545 4361 0 
0.734795 135422 4386 52 
0.150337 138013 4461 6 
0.550906 138165 4465 34 
0.004456 138282 4469 0 
0.525199 139093 4492 37 
0.403262 139097 4492 28 
0.106673 140782 4541 7 
0.954724 141249 4554 67 
0.223369 142440 4588 15 
1.40359 146712 4712 100 
2.04239 147207 4726 144 
0.502578 149526 4793 35 
0.060452 152068 4866 4 
0.310688 154768 4944 21 
0.190016 155030 4952 13 
0.214054 155062 4953 16 
0.216513 155844 4975 15 
0.191863 158744 5001 13 
0.469946 159027 5001 32 
1.08704 160186 5001 75 
0.848592 160378 5001 61 
0.803503 161963 5001 57 
1.40801 162072 5001 98 
0.123696 163115 5001 8 
0.293761 164942 5001 20 
2.1436 168538 5001 150 
0.133492 169559 5001 9 
28.742 169801 5001 2014 
2.22593 172504 5001 112 
0.064633 172970 5001 4 
1.70398 173382 5001 120 
0.089584 173390 5001 6 
0.812712 173716 5001 41 
0.059539 175074 5001 3 
0.460743 176237 5001 31 
1.44172 176378 5001 95 
2.12879 176465 5001 149 
0.468969 177060 5001 27 
0.596464 179276 5001 38 
0.050029 179709 5001 3 
0.332064 180075 5001 23 
1.54205 180135 5001 101 
0.806752 180710 5001 50 
0.10616 180929 5001 7 
0.586778 183287 5001 39 
0.219718 183640 5001 15 
0.109853 183745 5001 7 
0.385149 183822 5001 20 
0.600068 184233 5001 41 
0.269303 185569 5001 18 
0.559334 186531 5001 39 
2.6778 192588 5001 115 
0.450701 192629 5001 31 
1.26778 192711 5001 70 
0.090758 192716 5001 6 
