time files tags
0.048912 0 1 
0.050217 0 1 
0.636997 1 11 
0.040711 0 1 
0.940796 1 11 
0.609214 1 11 
0.113469 0 1 
1.57699 1 11 
8.17483 11 14 
15.2001 21 14 
24.8477 31 15 
35.5624 41 17 
49.2028 51 18 
66.6155 61 21 
88.5862 71 24 
112.02 81 25 
138.464 91 26 
171.052 101 29 
208.424 111 31 
252.073 121 32 
287.171 131 32 
342.056 141 35 
418.266 151 36 
429.398 161 38 
1458.54 271 58 
1586.18 281 61 
1734.7 291 62 
1911.43 301 66 
2111.02 311 70 
2230.67 321 72 
2528.14 331 73 
2770.25 341 77 
2871.39 351 79 
3238.89 361 79 
3684.58 371 83 
3594.63 381 85 
3893.85 391 88 
4215.98 401 88 
4838.18 411 90 
4809.4 421 93 
5136.67 431 94 
