time files tags numtags
0.069921 71 503 4
0.051297 142 506 1
0.04282 710 522 4
0.036967 1481 544 3
0.043504 1771 552 2
0.041393 5519 659 4
0.03299 5595 661 1
0.040048 7156 706 4
0.044747 7183 707 4
0.073302 8014 730 2
0.041661 9064 760 1
0.039698 10414 799 3
0.0417 10553 803 4
0.074251 11231 822 8
0.113106 12645 863 10
0.04289 13155 877 4
0.038181 15476 944 3
0.044016 17468 1001 5
0.033517 19258 1052 3
0.029176 19737 1066 1
0.068996 21188 1107 6
0.06572 22865 1155 5
0.032018 23000 1159 1
0.038103 23232 1166 3
0.110951 23781 1181 12
0.034105 28431 1314 1
0.067816 30378 1370 7
0.052487 30672 1378 4
0.032946 30782 1382 2
0.033124 31039 1389 2
0.039448 32508 1431 1
0.039092 32865 1441 1
0.049991 33374 1456 2
0.054324 33645 1464 6
0.031288 34814 1497 1
0.060663 36584 1548 7
0.034803 39698 1637 1
0.036123 40575 1662 1
0.051704 41034 1675 3
0.064557 43864 1756 7
0.056192 44083 1762 5
0.035902 46051 1819 2
0.075778 46231 1824 8
0.072441 47766 1868 5
0.041991 47775 1868 3
0.05364 49028 1904 4
0.082771 49059 1905 9
0.035954 49336 1913 2
0.032043 49469 1917 1
0.071552 50002 1932 7
0.094887 50474 1945 8
0.107701 51505 1975 11
0.106964 53146 2022 10
0.048996 55648 2094 2
0.067248 56627 2122 4
0.037956 56851 2128 3
0.057582 56932 2130 5
0.042094 58080 2163 2
0.101935 58485 2175 11
0.034461 58867 2186 1
0.029779 60196 2224 1
0.059679 60934 2245 7
0.093303 63773 2326 11
0.03515 65231 2368 1
0.064426 65233 2368 7
0.193089 66744 2412 6
0.034946 69224 2483 2
0.035174 69808 2499 1
0.037469 70210 2511 2
0.033138 73736 2612 1
0.052933 75030 2649 5
0.038613 76682 2697 3
0.049002 77082 2708 5
0.039206 78624 2753 2
0.040203 78760 2756 3
0.037325 78869 2760 2
0.050881 79348 2773 5
0.052668 81678 2840 4
0.043401 82114 2853 4
0.068784 83105 2881 7
0.050648 84956 2934 5
0.031043 86305 2973 2
0.034683 90705 3099 2
0.045515 92419 3149 3
0.054158 93140 3169 3
0.058896 93593 3182 2
0.066581 93807 3189 4
0.050331 94459 3207 5
0.047168 96861 3276 3
0.035216 98333 3319 2
0.034784 98732 3330 3
0.057247 98924 3336 5
0.036798 99255 3345 1
0.032138 102177 3429 1
0.050873 102800 3447 2
0.03801 104450 3494 2
0.031579 104517 3496 1
0.161007 107037 3569 16
0.043805 107223 3574 4
0.088351 107605 3585 10
0.03207 107901 3594 1
0.034408 107935 3595 2
0.033225 108624 3614 2
0.040216 108967 3625 2
0.032581 110361 3664 1
