time files tags numfiles numtags
0.002371 710 522 0 2
0.00384 1771 552 0 5
0.019626 5519 659 90 1
0.003775 5595 661 0 3
0.005879 7156 706 0 7
0.008103 9064 760 0 2
0.005399 10553 803 0 3
0.031274 12645 863 177 1
0.013434 13155 877 0 2
0.003583 17468 1001 0 4
0.004496 19258 1052 11 1
0.005902 19737 1066 0 3
0.006965 21188 1107 0 6
0.007026 23000 1159 0 3
0.00644 23232 1166 0 3
0.003211 30378 1370 7 1
0.008916 30672 1378 0 2
0.003807 30782 1382 8 1
0.005243 31039 1389 0 5
0.099569 33374 1456 443 1
0.005081 33645 1464 0 5
0.018378 34814 1497 0 3
0.008184 36584 1548 28 1
0.00514 40064 1647 13 1
0.007665 40575 1662 0 4
0.005232 41034 1675 16 1
0.011472 43864 1756 44 1
0.013918 46051 1819 0 4
0.005907 46231 1824 0 2
0.015034 47775 1868 55 1
0.010373 49028 1904 0 10
0.138772 49469 1917 694 1
0.126916 50002 1932 660 1
0.003141 50474 1945 0 2
0.010229 51505 1975 0 2
0.003524 53146 2022 7 1
0.005528 56851 2128 14 1
0.007187 56932 2130 0 3
0.189247 58080 2163 788 1
0.006384 60196 2224 0 5
0.003249 60934 2245 3 1
0.006187 65231 2368 0 5
0.006803 65233 2368 0 7
0.007927 66744 2412 0 5
0.003531 69224 2483 5 1
0.182987 73736 2612 940 1
0.004042 78624 2753 0 3
0.004728 78760 2756 0 3
0.005182 79348 2773 0 2
0.762829 81678 2840 12 2
0.018531 83105 2881 72 1
0.01409 86305 2973 0 2
0.008685 90705 3099 28 1
0.005322 92419 3149 0 2
0.015009 93593 3182 0 5
0.010338 93807 3189 0 2
0.011438 94459 3207 0 5
0.003526 96861 3276 6 1
0.002552 98732 3330 2 1
0.009207 99255 3345 27 1
0.012738 102177 3429 44 1
0.003597 104450 3494 0 2
0.007558 104517 3496 0 2
0.00425 107037 3569 7 1
0.006471 107223 3574 0 3
0.007487 107901 3594 0 7
0.006464 108624 3614 0 7
0.006025 108967 3625 0 2
0.265378 110361 3664 1325 1
0.005332 110451 3667 13 1
0.010085 112830 3736 32 1
0.003059 113585 3757 2 1
0.043863 113807 3764 0 2
0.001107 115719 3818 0 1
0.005453 116711 3847 0 4
0.021754 118851 3909 0 2
