time files tags numtags
4.37981 132 501 15 
4.82642 272 502 3 
4.82298 948 505 24 
12.974 3519 509 2 
4.21173 5698 516 0 
2.63624 7400 519 14 
97.8441 7651 522 0 
11.8463 10949 525 25 
5.19964 11521 527 5 
4.49262 12357 531 9 
3.36518 12847 532 12 
7.57326 16144 537 3 
101.175 17716 539 25 
4.65768 17887 541 27 
2.17898 17954 542 12 
14.9743 19569 543 10 
4.77258 21513 544 16 
2.0802 21683 545 17 
7.45791 22248 546 3 
36.2586 23889 550 23 
29.312 24304 552 21 
5.37162 24329 553 16 
2.52711 25868 554 8 
4.27968 26063 555 18 
9.82848 26130 556 11 
25.3018 26379 558 13 
2.22055 28735 563 24 
2.61089 28767 565 17 
4.68246 29864 568 21 
2.73362 30159 570 7 
3.90725 31518 572 0 
2.52495 33438 575 22 
5.31926 33508 576 17 
2.97732 33580 577 8 
45.2498 35241 579 5 
26.4587 36668 581 23 
3.15975 37429 583 20 
5.12151 37677 584 22 
4.40332 37917 585 18 
2.63072 37981 586 16 
7.68827 38703 588 20 
4.83725 39360 589 19 
2.51296 39369 590 9 
5.51932 39573 591 3 
3.49786 39959 593 21 
6.28372 40381 595 14 
4.13572 41668 598 26 
4.62767 43555 600 17 
3.06313 43651 601 12 
2.52578 44586 606 8 
2.64459 45456 607 15 
1.78021 46159 612 2 
5.24587 46432 614 3 
53.1589 47552 615 17 
50.9678 47794 616 14 
2.92827 47872 617 4 
5.45583 48810 619 16 
11.2163 48911 620 0 
2.27196 49063 621 21 
4.98383 51171 623 18 
3.59907 52229 626 24 
2.35853 53495 628 29 
3.63359 53840 630 10 
9.88959 54342 631 13 
1.07016 54649 632 3 
9.24025 55975 635 17 
2.36379 57179 636 1 
36.7356 57584 639 20 
4.67698 984 502 7 
3.31198 2856 507 26 
2.61859 3160 508 14 
4.68788 4350 511 17 
4.7859 6822 514 25 
3.05341 7116 515 19 
0.375174 7815 517 3 
4.2765 9394 520 21 
7.00285 10375 522 2 
7.1903 11157 525 8 
4.59317 11520 526 13 
4.93017 14542 527 3 
4.34829 14810 528 0 
3.36691 16833 533 22 
32.2654 17072 534 12 
4.90844 18220 535 22 
18.6735 19773 537 19 
5.36909 20685 538 29 
6.36655 20733 539 27 
1.18491 21533 541 12 
1.97165 21971 546 28 
10.6536 22126 548 18 
4.56236 22388 550 16 
31.1144 22847 551 8 
8.65036 23194 552 7 
2.7607 23285 553 9 
4.91632 24563 556 19 
2.01555 25953 559 22 
5.02166 26275 560 6 
20.8212 26900 561 21 
2.89461 30074 570 6 
9.70691 30614 571 0 
4.02593 30636 572 13 
10.5049 31227 573 28 
4.67884 31275 574 11 
2.81372 32040 577 9 
3.36185 32079 578 28 
2.94726 33290 582 7 
5.19478 38297 588 14 
4.47015 38971 591 6 
4.66201 40730 595 17 
3.82859 41145 598 1 
3.57285 43693 606 4 
5.49911 47008 609 26 
1.56032 48102 612 0 
14.6102 48962 615 19 
2.20054 49976 616 14 
23.6873 50270 617 27 
2.52219 53155 621 5 
5.06083 53872 622 11 
55.2514 54247 624 26 
5.65661 54341 625 12 
4.94697 55743 630 0 
2.25094 56294 632 3 
4.8505 56504 635 25 
4.08631 58061 637 17 
33.7684 58210 638 28 
3.55503 58663 639 15 
5.44456 59319 642 27 
5.20882 59783 644 3 
11.1046 59972 645 26 
4.96399 60300 646 17 
5.63884 60479 647 26 
2.97978 62338 650 3 
17.8016 62500 651 4 
4.12629 62546 652 17 
5.30143 62903 653 10 
4.41886 63454 656 3 
4.2366 65500 663 24 
12.811 66729 665 0 
15.7378 69043 669 22 
7.92663 69289 670 6 
2.85988 69578 671 5 
1.56608 70187 673 26 
9.52841 70239 674 25 
24.3028 70339 676 21 
2.40568 71008 677 11 
4.0887 72767 680 4 
3.69785 72907 681 23 
3.96933 74503 687 8 
8.13795 74982 690 12 
34.093 75927 692 28 
2.40645 76033 693 2 
6.60264 78752 696 19 
7.80053 79392 698 12 
3.70547 79544 700 20 
6.35398 79913 702 12 
24.4997 80487 703 21 
3.15039 80786 704 13 
82.2041 80806 705 25 
5.91409 82256 708 13 
8.79577 82715 711 26 
5.02908 82773 712 16 
4.53771 84556 714 11 
8.74085 85154 719 3 
8.67559 87773 725 0 
2.71223 88195 726 6 
4.80867 88217 727 0 
2.86613 91353 729 17 
3.95574 91611 731 22 
3.75574 93743 732 9 
4.09653 94190 733 18 
5.08943 94542 734 20 
4.3967 95721 735 22 
3.90452 96812 740 4 
4.69108 98011 741 1 
22.142 98743 743 18 
5.4539 98991 746 23 
12.0663 99638 749 22 
