time files tags
3.07211 132 502 
7.45944 272 503 
6.23949 948 506 
4.82574 3519 510 
4.29285 5698 517 
33.6048 7400 520 
2.27955 7651 523 
3.53764 10949 526 
3.36615 11521 528 
1.99788 12357 532 
3.54802 12847 533 
1.5988 16144 538 
1.55344 17716 540 
3.27852 17887 542 
7.2411 17954 543 
1.72636 19569 544 
3.19995 21513 545 
3.49353 21683 546 
1.07915 22248 547 
2.4704 23889 551 
1.8716 24304 553 
59.3064 24329 554 
1.82335 25868 555 
2.1464 26063 556 
27.714 26130 557 
2.90813 26379 559 
30.3345 28735 564 
2.74036 28767 566 
2.98713 29864 569 
2.14945 30159 571 
2.01787 31518 573 
3.1189 33438 576 
2.1465 33508 577 
2.2686 33580 578 
10.6839 35241 580 
2.75621 36668 582 
2.9058 37429 584 
2.92257 37677 585 
2.78409 37917 586 
3.47442 37981 587 
44.1355 38703 589 
2.4674 39360 590 
3.01399 39369 591 
2.84339 39573 592 
8.62408 39959 594 
1.6591 40381 596 
11.608 41668 599 
30.4269 43555 601 
1.62609 43651 602 
1.24663 44586 607 
0.563061 45456 608 
2.54171 46159 613 
6.66309 46432 615 
1.02988 47552 616 
19.0153 47794 617 
1.65396 47872 618 
1.27743 48810 620 
35.0442 48911 621 
0.932771 49063 622 
0.883665 51171 624 
1.58911 52229 627 
1.59611 53495 629 
3.32423 53840 631 
3.30745 54342 632 
3.00677 54649 633 
3.00197 55975 636 
2.99688 57179 637 
2.43667 57584 640 
2.71713 984 503 
3.79807 2856 508 
1.54805 3160 509 
3.43194 4350 512 
5.17899 6822 515 
4.87234 7116 516 
0.199223 7815 518 
2.58405 9394 521 
2.2321 10375 523 
2.70093 11157 526 
54.472 11520 527 
3.40061 14542 528 
24.1163 14810 529 
8.72557 16833 534 
1.21626 17072 535 
1.10403 18220 536 
2.23664 19773 538 
2.47983 20685 539 
2.66369 20733 540 
0.97631 21533 542 
2.34947 21971 547 
2.68403 22126 549 
3.79464 22388 551 
3 22847 552 
3.35955 23194 553 
3.05844 23285 554 
37.0846 24563 557 
1.7677 25953 560 
2.08417 26275 561 
2.93772 26900 562 
2.4916 30074 571 
0.642689 30614 572 
3.35709 30636 573 
3.0053 31227 574 
10.6335 31275 575 
1.65981 32040 578 
2.6542 32079 579 
1.35546 33290 583 
0.787017 38297 589 
1.35339 38971 592 
20.7698 40730 596 
2.1617 41145 599 
4.19566 43693 607 
5.90855 47008 610 
3.21363 48102 613 
4.65831 48962 616 
2.65655 49976 617 
2.15499 50270 618 
2.18328 53155 622 
1.8699 53872 623 
1.96431 54247 625 
10.5246 54341 626 
12.1102 55743 631 
0.853522 56294 633 
3.20824 56504 636 
24.331 58061 638 
2.23843 58210 639 
2.63638 58663 640 
2.47588 59319 643 
1.22748 59783 645 
2.88878 59972 646 
2.52488 60300 647 
2.14249 60479 648 
3.49052 62338 651 
1.89017 62500 652 
2.67063 62546 653 
2.03255 62903 654 
2.16573 63454 657 
3.8639 65500 664 
3.18662 66729 666 
1.57065 69043 670 
2.17517 69289 671 
3.1678 69578 672 
2.22671 70187 674 
1.2014 70239 675 
0.983824 70339 677 
2.0881 71008 678 
2.17443 72767 681 
1.77525 72907 682 
2.7165 74503 688 
1.46379 74982 691 
15.964 75927 693 
2.65557 76033 694 
1.30183 78752 697 
0.547277 79392 699 
18.7137 79544 701 
1.49207 79913 703 
3.35952 80487 704 
2.47209 80786 705 
0.728133 80806 706 
27.471 82256 709 
1.91193 82715 712 
2.74262 82773 713 
2.97232 84556 715 
2.09068 85154 720 
2.72506 87773 726 
3.19772 88195 727 
2.62101 88217 728 
2.33753 91353 730 
1.90988 91611 732 
2.89797 93743 733 
33.8363 94190 734 
3.08549 94542 735 
2.90558 95721 736 
3.21935 96812 741 
2.18866 98011 742 
3.099 98743 744 
2.49534 98991 747 
1.82119 99638 750 
