time files tags answerfiles
0.003212 132 502 1
0.003473 272 503 1
0.002896 948 506 1
0.003709 3519 510 1
0.002493 5698 517 1
0.002931 7400 520 1
0.005525 7651 523 1
0.002462 10949 526 1
0.003629 11521 528 1
0.003173 12357 532 1
0.00262 12847 533 1
0.002397 16144 538 1
0.002639 17716 540 1
0.002725 17887 542 1
0.002586 17954 543 1
0.002509 19569 544 1
0.003149 21513 545 1
0.002923 21683 546 1
0.002878 22248 547 1
0.003986 23889 551 1
0.002681 24304 553 1
0.003082 24329 554 1
0.002984 25868 555 1
0.003515 26063 556 1
0.003022 26130 557 1
0.002597 26379 559 1
0.002582 28735 564 1
0.002744 28767 566 1
0.004087 29864 569 1
0.012577 30159 571 1
0.003094 31518 573 1
0.002853 33438 576 1
0.002772 33508 577 1
0.004258 33580 578 1
0.003406 35241 580 1
0.00417 36668 582 1
0.002554 37429 584 1
0.002967 37677 585 1
0.00283 37917 586 1
0.002654 37981 587 1
0.002712 38703 589 1
0.002768 39360 590 1
0.002907 39369 591 1
0.004115 39573 592 1
0.012462 39959 594 1
0.003698 40381 596 1
0.002731 41668 599 1
0.004073 43555 601 1
0.002983 43651 602 1
0.002833 44586 607 1
0.00374 45456 608 1
0.002666 46159 613 1
0.004494 46432 615 1
0.003558 47552 616 1
0.002555 47794 617 1
0.002652 47872 618 1
0.002663 48810 620 1
0.003518 48911 621 1
0.0033 49063 622 1
0.002451 51171 624 1
0.004336 52229 627 1
0.002882 53495 629 1
0.003836 53840 631 1
0.003694 54342 632 1
0.003502 54649 633 1
0.002559 55975 636 1
0.003202 57179 637 1
0.002821 57584 640 1
0.001919 984 503 1
0.002748 2856 508 1
0.002072 3160 509 1
0.002006 4350 512 1
0.002473 6822 515 1
0.00324 7116 516 1
0.001876 7815 518 1
0.004659 9394 521 7
0.00524 10375 523 7
0.002716 11157 526 1
0.004907 11520 527 7
0.004455 14542 528 7
0.001855 14810 529 1
0.004783 16833 534 7
0.004195 17072 535 7
0.003857 18220 536 7
0.002819 19773 538 1
0.002441 20685 539 2
0.004108 20733 540 7
0.004786 21533 542 7
0.005421 21971 547 7
0.004107 22126 549 7
0.004245 22388 551 7
0.004218 22847 552 7
0.004119 23194 553 7
0.001964 23285 554 1
0.002592 24563 557 1
0.005364 25953 560 7
0.004206 26275 561 7
0.002297 26900 562 1
0.002169 30074 571 1
0.00357 30614 572 2
0.004356 30636 573 7
0.002394 31227 574 1
0.005675 31275 575 7
0.002398 32040 578 2
0.004922 32079 579 7
0.002537 33290 583 1
0.002485 38297 589 1
0.002365 38971 592 1
0.004379 40730 596 7
0.016571 41145 599 63
0.002118 43693 607 1
0.005289 47008 610 7
0.016497 48102 613 63
0.002107 48962 616 1
0.005753 49976 617 7
0.003364 50270 618 2
0.002536 53155 622 1
0.002944 53872 623 2
0.002035 54247 625 1
0.003867 54341 626 2
0.006238 55743 631 8
0.018127 56294 633 8
0.001891 56504 636 1
0.004231 58061 638 4
0.005988 58210 639 2
0.004502 58663 640 7
0.003512 59319 643 4
0.002966 59783 645 1
0.003043 59972 646 2
0.001757 60300 647 1
0.00294 60479 648 2
0.00345 62338 651 4
0.003612 62500 652 2
0.004491 62546 653 7
0.002422 62903 654 1
0.002356 63454 657 1
0.003056 65500 664 1
0.00368 66729 666 4
0.00292 69043 670 1
0.002073 69289 671 1
0.011959 69578 672 1
0.002621 70187 674 2
0.002789 70239 675 2
0.002214 70339 677 1
0.001965 71008 678 1
0.003063 72767 681 2
0.002955 72907 682 2
0.003786 74503 688 2
0.002002 74982 691 1
0.002462 75927 693 1
0.003764 76033 694 4
0.006611 78752 697 8
0.003355 79392 699 2
0.004291 79544 701 7
0.00196 79913 703 1
0.003602 80487 704 2
0.002073 80786 705 1
0.002108 80806 706 1
0.00202 82256 709 1
0.001872 82715 712 1
0.003346 82773 713 4
0.00304 84556 715 2
0.001889 85154 720 1
0.003154 87773 726 2
0.004107 88195 727 4
0.001787 88217 728 1
0.007642 91353 730 18
0.004674 91611 732 7
0.002319 93743 733 2
0.003178 94190 734 2
0.001775 94542 735 1
0.004401 95721 736 7
0.002184 96812 741 1
0.002148 98011 742 1
0.002198 98743 744 1
0.003342 98991 747 1
0.001915 99638 750 1
