time files tags numtags
9.54057 132 502 36
17.1208 272 503 121
12.4854 948 506 45
29.2097 3519 510 160
36.0218 5698 517 257
36.5388 7400 520 240
23.6445 7651 523 201
50.542 10949 526 232
23.98 11521 528 60
37.2849 12357 532 139
34.5546 12847 533 107
25.2093 16144 538 185
28.1972 17716 540 239
19.7386 17887 542 159
46.6457 17954 543 251
43.4662 19569 544 290
15.1947 21513 545 9
28.1544 21683 546 177
21.8139 22248 547 182
22.9951 23889 551 168
42.667 24304 553 251
54.1488 24329 554 339
21.5606 25868 555 150
56.5906 26063 556 322
40.2421 26130 557 271
10.9924 26379 559 115
15.3712 28735 564 48
31.7642 28767 566 231
44.8155 29864 569 277
36.1675 30159 571 283
26.2127 31518 573 245
40.4394 33438 576 273
13.2649 33508 577 101
21.3563 33580 578 180
57.7251 35241 580 351
15.7271 36668 582 73
24.444 37429 584 223
38.8272 37677 585 264
50.373 37917 586 308
56.7864 37981 587 356
38.9177 38703 589 293
11.4549 39360 590 45
15.8617 39369 591 112
9.47418 39573 592 8
10.8286 39959 594 26
57.4076 40381 596 323
40.4591 41668 599 248
62.2289 43555 601 379
43.3144 43651 602 278
18.631 44586 607 89
56.7869 45456 608 316
26.37 46159 613 106
64.5201 46432 615 365
28.0102 47552 616 218
21.7219 47794 617 160
45.8486 47872 618 325
51.2987 48810 620 334
52.6937 48911 621 349
18.2133 49063 622 70
51.7627 51171 624 352
60.3194 52229 627 382
43.9929 53495 629 293
13.2195 53840 631 114
36.5741 54342 632 225
19.811 54649 633 114
64.6943 55975 636 376
12.4208 57179 637 34
31.6163 984 503 201
15.838 2856 508 11
46.8335 3160 509 274
15.5667 4350 512 44
6.16683 6822 515 70
19.3467 7116 516 117
39.7977 7815 518 216
12.8101 9394 521 151
29.5674 10375 523 163
27.4801 11157 526 236
14.778 11520 527 224
10.4553 14542 528 146
47.4455 14810 529 307
19.5445 16833 534 269
64.533 17072 535 236
17.9038 18220 536 213
14.1183 19773 538 108
26.5813 20685 539 111
3.67072 20733 540 299
5.86968 21533 542 348
16.5831 21971 547 348
6.26196 22388 551 254
39.37 22847 552 209
12.8219 23194 553 318
34.2988 23285 554 264
34.0858 24563 557 272
2.7664 26275 561 231
52.4364 26900 562 334
38.4012 30074 571 224
5.98277 30614 572 49
2.37501 30636 573 279
23.7135 31227 574 173
8.21286 31275 575 225
37.5992 32040 578 306
8.10741 32079 579 240
30.5606 33290 583 264
12.2824 38297 589 34
24.1009 38971 592 202
22.1513 40730 596 340
55.5997 41145 599 315
46.665 43693 607 302
12.8639 47008 610 232
25.4444 48102 613 268
9.99074 48962 616 31
49.0342 49976 617 347
24.3048 50270 618 45
75.3347 53155 622 394
59.3524 53872 623 376
49.2936 54247 625 340
28.1313 54341 626 278
42.5171 55743 631 315
16.7871 56294 633 82
34.9347 56504 636 255
37.1541 58061 638 256
18.5171 58210 639 252
22.4316 58663 640 224
24.6314 59319 643 321
9.3162 59783 645 115
35.5575 59972 646 268
16.0515 60300 647 90
15.7942 60479 648 156
17.4132 62338 651 138
15.2187 62500 652 119
21.9563 62546 653 339
52.2083 62903 654 323
20.997 63454 657 128
75.2725 65500 664 387
20.1649 66729 666 152
8.4569 69043 670 86
35.1912 69289 671 215
39.2363 69578 672 291
34.1491 70187 674 204
21.7442 70239 675 91
49.5887 70339 677 304
67.4136 71008 678 358
69.1472 72767 681 256
12.7347 72907 682 28
68.3724 74503 688 359
35.3373 74982 691 59
46.8024 75927 693 325
30.1944 76033 694 267
31.123 78752 697 322
18.2993 79392 699 57
15.8279 79544 701 367
24.6262 79913 703 137
16.51 80487 704 378
47.1938 80786 705 280
11.6748 80806 706 82
63.6886 82256 709 389
47.5675 82715 712 319
12.839 82773 713 240
44.3306 84556 715 232
40.3273 85154 720 238
13.5613 87773 726 287
16.8169 88195 727 373
37.4247 88217 728 269
9.37659 91353 730 17
27.2658 91611 732 422
50.42 93743 733 271
1.47063 94190 734 79
65.3013 94542 735 391
16.7553 95721 736 353
27.5279 96812 741 13
8.23632 98011 742 5
8.39552 98743 744 17
16.2097 98991 747 93
46.5403 99638 750 272
