time files tags foundfiles numtags
0.089897 132 502 0 215
0.093879 272 503 0 200
0.129102 948 506 0 279
0.059936 3519 510 0 87
0.140577 5698 517 0 331
0.082896 7400 520 0 136
0.136187 7651 523 0 305
0.103142 10949 526 0 27
0.129547 11521 528 0 300
0.145634 12357 532 0 294
0.041669 12847 533 0 72
0.130438 16144 538 0 154
0.138328 17716 540 0 251
0.025372 17887 542 0 48
0.118552 17954 543 0 282
0.129714 19569 544 0 269
0.137882 21513 545 0 42
0.313163 21683 546 0 17
0.102004 22248 547 0 220
0.112383 23889 551 0 174
0.073992 24304 553 0 149
0.141025 24329 554 0 318
0.127406 25868 555 0 215
0.092072 26063 556 0 139
0.05389 26130 557 0 20
0.113034 26379 559 0 240
0.045236 28735 564 0 44
0.09061 28767 566 0 192
0.084215 29864 569 0 103
0.157959 30159 571 0 337
0.057049 31518 573 0 93
0.136145 33438 576 0 328
0.090333 33508 577 0 174
0.135787 33580 578 0 281
0.147736 35241 580 0 251
0.071108 36668 582 0 64
0.192832 37429 584 975 1
0.137459 37677 585 0 313
0.141867 37917 586 0 318
0.047011 37981 587 0 83
0.151591 38703 589 0 330
0.157227 39360 590 0 359
0.14552 39369 591 0 291
0.418353 39573 592 0 21
0.148471 39959 594 0 296
0.078529 40381 596 0 153
0.102244 41668 599 0 158
0.117868 43555 601 0 239
0.089016 43651 602 0 91
0.142985 44586 607 0 314
0.112443 45456 608 0 209
0.118763 46159 613 0 242
0.123364 46432 615 0 224
0.091563 47552 616 0 23
0.151217 47794 617 0 322
0.087615 47872 618 0 116
0.13316 48810 620 0 216
0.088575 48911 621 0 158
0.065623 49063 622 0 131
0.142053 51171 624 0 280
0.140143 52229 627 0 61
0.192808 53495 629 0 405
0.134807 53840 631 0 284
0.051737 54342 632 0 22
0.121422 54649 633 0 241
0.085906 55975 636 0 56
0.165606 57179 637 0 302
0.058839 57584 640 0 57
0.062044 984 503 0 124
0.146519 2856 508 0 294
0.092887 3160 509 0 228
0.073818 4350 512 0 99
0.105597 6822 515 0 210
0.111606 7116 516 0 82
0.160275 7815 518 0 291
0.09577 9394 521 0 183
0.09029 10375 523 0 187
0.110886 11157 526 0 182
0.134256 11520 527 0 296
0.176344 14542 528 0 246
0.093118 14810 529 0 202
0.158275 16833 534 0 335
0.044339 17072 535 0 54
0.114644 18220 536 0 251
0.098855 19773 538 0 166
0.120235 20685 539 0 86
0.295583 20733 540 1 9
0.015527 21533 542 0 20
0.055009 21971 547 0 75
0.12891 22126 549 0 310
0.107738 22388 551 0 231
0.172344 22847 552 1 199
0.144333 23194 553 0 348
0.136212 23285 554 0 310
0.186269 24563 557 0 264
0.079109 25953 560 0 141
0.135579 26275 561 0 264
0.126755 26900 562 0 288
0.158851 30074 571 0 326
0.237671 30614 572 0 355
0.107381 30636 573 0 196
0.050839 31227 574 0 89
0.493677 31275 575 2 4
0.065119 32040 578 0 123
0.047548 32079 579 0 73
0.076177 33290 583 0 154
0.384892 38297 589 1 15
0.144836 38971 592 0 304
0.083938 40730 596 0 135
0.12234 41145 599 0 202
0.054484 43693 607 0 82
0.143989 47008 610 0 259
0.048001 48102 613 0 75
0.215625 48962 616 0 394
0.069787 49976 617 0 99
0.055613 50270 618 0 84
0.122298 53155 622 0 219
0.168061 53872 623 0 378
0.123993 54247 625 0 273
0.08571 54341 626 0 93
0.163204 55743 631 0 236
0.266347 56294 633 0 144
0.079541 56504 636 0 142
0.209355 58061 638 0 364
0.178935 58210 639 0 387
0.092213 58663 640 0 181
0.081519 59319 643 0 156
0.106084 59783 645 0 137
0.185658 59972 646 0 412
1.63583 60300 647 58 2
0.156331 60479 648 0 314
0.146725 62338 651 0 304
0.169845 62500 652 0 343
0.1522 62546 653 0 281
0.147012 62903 654 0 230
0.154723 63454 657 0 321
0.113024 65500 664 0 175
0.253232 66729 666 0 400
0.100966 69043 670 0 9
0.166298 69289 671 0 322
0.107612 69578 672 0 133
0.121692 70187 674 0 204
0.107951 70239 675 0 16
0.056054 70339 677 0 99
0.154487 71008 678 0 319
0.160185 72767 681 0 285
0.081795 72907 682 0 133
0.059358 74503 688 0 66
0.11719 74982 691 0 229
0.115682 75927 693 0 200
0.187878 76033 694 0 62
0.156015 78752 697 0 272
0.180494 79392 699 0 382
0.185185 79544 701 0 398
0.130135 79913 703 0 210
0.179472 80487 704 0 370
0.135098 80786 705 0 251
0.146893 80806 706 0 273
0.068027 82256 709 0 97
0.107165 82715 712 0 169
0.117469 82773 713 0 243
0.073143 84556 715 0 105
0.202183 85154 720 0 443
0.117866 87773 726 0 155
0.284945 88195 727 0 445
0.186713 88217 728 0 420
0.093431 91353 730 0 179
0.073959 91611 732 0 90
0.190047 93743 733 0 313
0.165581 94190 734 0 313
0.204023 94542 735 0 476
0.147089 95721 736 0 312
0.154293 96812 741 0 295
0.144155 98011 742 0 280
0.203156 98743 744 0 387
0.158746 98991 747 0 235
0.1222 99638 750 0 241
