time files tags numtags
0.118066 1070 1002 8 
0.169267 1199 1003 8 
0.149563 1436 1004 11 
0.142621 4245 1008 9 
0.127505 4247 1009 8 
0.127787 5018 1013 9 
0.122171 5599 1016 5 
0.119914 6842 1018 8 
0.099094 8632 1020 5 
0.150177 9835 1021 11 
0.157081 10267 1022 12 
0.203773 10694 1023 13 
0.114714 11491 1027 4 
0.157358 11562 1028 8 
0.160856 12119 1030 9 
0.125985 12875 1032 6 
0.193243 13518 1036 12 
0.121008 13977 1038 5 
0.16488 14115 1039 11 
0.106403 14816 1041 3 
0.11551 17960 1050 7 
0.129071 19392 1053 9 
0.180191 22370 1058 8 
0.06343 22454 1060 0 
0.152267 22465 1061 11 
0.238036 559 1003 4 
0.123667 793 1005 7 
0.110606 2607 1007 6 
0.12506 3812 1011 7 
0.110411 3939 1012 6 
0.175042 3969 1013 13 
0.093854 4117 1014 3 
0.114736 5143 1015 7 
0.180653 6119 1017 9 
0.118007 6281 1018 7 
0.109397 7995 1022 6 
0.139799 8879 1025 4 
0.12243 10651 1028 8 
0.13888 10909 1029 9 
0.156441 11196 1031 4 
0.115103 11763 1032 7 
0.107044 12118 1035 5 
0.149452 14808 1044 11 
0.113092 18540 1053 7 
0.124192 19122 1055 8 
0.110597 19453 1057 6 
0.115536 24540 1061 7 
0.125495 24772 1064 8 
0.141908 25101 1067 10 
0.230611 25684 1070 12 
0.14297 27135 1075 10 
0.092295 27284 1076 3 
0.09635 30100 1083 4 
0.093775 30104 1084 3 
0.098378 30156 1085 4 
0.123536 2147 1004 8 
0.160947 2349 1005 10 
0.123569 4097 1010 5 
0.140495 5337 1012 9 
0.096129 5482 1013 3 
0.242292 5584 1015 8 
0.11962 5854 1016 7 
0.215318 6780 1017 13 
0.125958 7670 1018 5 
0.108745 8831 1023 6 
0.251045 9856 1027 9 
0.112334 10070 1028 6 
0.110453 10182 1029 6 
0.170572 10359 1031 13 
0.181936 10962 1035 13 
0.134551 12460 1040 8 
0.117744 14852 1042 6 
0.153009 17024 1045 10 
0.124186 18068 1049 7 
0.161772 19330 1051 11 
0.133827 19614 1052 6 
0.169285 20697 1055 10 
0.215344 22918 1061 11 
0.091741 23707 1064 3 
0.123655 23900 1065 7 
0.119515 24749 1067 7 
0.126401 25091 1070 8 
0.150325 26528 1071 11 
0.256861 27293 1074 11 
0.097656 27451 1075 4 
0.137903 28054 1078 9 
0.126198 30658 1087 8 
0.116446 33110 1090 7 
0.100123 33868 1093 4 
0.228223 35310 1098 12 
0.116867 35356 1099 7 
0.082941 35797 1100 1 
0.121964 37392 1107 7 
0.126505 37741 1109 8 
0.109036 37777 1110 6 
0.160894 37924 1111 12 
0.111387 38573 1116 6 
0.186485 38827 1118 14 
0.133292 38912 1119 9 
0.136426 39013 1120 9 
0.143134 40030 1121 8 
0.115116 40883 1125 6 
0.187191 42003 1127 8 
0.098138 43652 1131 4 
0.130877 43745 1132 8 
0.129724 44087 1134 8 
0.103291 44651 1137 4 
0.147448 45261 1139 10 
0.099212 46723 1143 4 
0.119956 49679 1155 7 
0.096484 50309 1158 3 
0.150926 51570 1161 5 
0.223703 51864 1162 13 
0.107823 53284 1163 6 
0.165745 53289 1164 11 
0.143501 54354 1166 10 
0.115159 54576 1167 7 
0.108687 54595 1168 5 
0.123298 55319 1169 7 
0.170118 57636 1173 13 
0.112191 60240 1181 6 
0.148723 60326 1182 11 
0.121942 61509 1185 8 
0.136936 62423 1189 9 
0.089712 62695 1190 3 
0.112337 63630 1194 6 
0.184388 63770 1195 9 
0.186744 64007 1196 9 
0.212109 64024 1197 12 
0.206059 66520 1206 12 
0.161453 68396 1209 11 
0.088585 68969 1211 1 
0.124035 69282 1213 7 
0.130717 71609 1217 2 
0.144302 71844 1218 10 
0.160922 72499 1221 12 
0.08851 72540 1222 2 
0.123055 72795 1223 8 
0.118476 74474 1226 7 
0.144402 75665 1230 9 
0.091401 76969 1236 2 
0.16219 78782 1242 11 
0.144146 79730 1246 9 
0.094005 80470 1250 2 
0.135374 80922 1252 8 
0.12943 84878 1265 7 
0.09247 85910 1271 2 
0.107274 86015 1272 4 
0.095208 86541 1273 3 
0.158874 87412 1274 11 
0.248386 87937 1280 9 
0.212718 88009 1281 8 
0.101211 88330 1283 5 
0.163022 88487 1285 11 
0.111606 88668 1286 4 
0.186243 89979 1289 12 
0.148585 90379 1292 10 
0.153071 91033 1293 7 
0.136711 91165 1294 6 
0.117367 93241 1299 4 
0.144595 94319 1303 10 
0.14022 95023 1304 9 
0.16183 95243 1307 11 
0.139145 96697 1311 9 
0.145939 96849 1312 10 
0.118686 98002 1314 7 
0.117124 98852 1319 7 
0.223534 1317 1003 7 
0.252489 1431 1004 9 
0.23303 1967 1006 10 
0.214572 2231 1007 8 
0.295153 2353 1008 12 
0.229812 2519 1009 9 
0.181011 3257 1012 4 
0.185557 3288 1013 5 
0.125804 5340 1019 7 
0.17418 6301 1022 5 
0.226435 7383 1024 8 
0.2155 8692 1028 8 
0.18085 13 1001 11 
0.183765 1446 1002 6 
0.227867 1798 1003 10 
0.209622 4272 1011 6 
0.157666 5366 1017 4 
0.398471 5638 1018 7 
0.128007 5802 1019 1 
0.303109 7231 1024 13 
0.301277 7774 1025 11 
0.219247 10095 1028 12 
0.215068 10705 1030 8 
0.22844 11270 1032 8 
0.256579 12207 1033 11 
0.222293 15489 1044 10 
0.242103 16129 1046 11 
0.206963 17556 1050 8 
0.273038 18392 1052 10 
0.160434 18901 1055 10 
0.264292 19222 1056 9 
0.145777 19350 1057 9 
0.269309 19764 1060 12 
0.108669 23138 1069 6 
0.260185 23560 1073 14 
0.212647 23790 1074 7 
0.128119 25011 1077 7 
0.159412 27496 1084 7 
0.12069 28593 1087 6 
0.211995 29630 1089 8 
0.337624 29870 1090 13 
0.208544 30204 1091 8 
0.166764 32026 1099 3 
0.116059 33116 1105 7 
0.246834 33269 1107 12 
0.212081 34684 1109 7 
0.150456 36232 1112 10 
0.24653 39100 1121 10 
0.236539 40082 1122 9 
0.17363 40138 1123 7 
0.199531 42490 1125 6 
0.220531 44674 1129 15 
0.257027 45593 1132 11 
0.207488 45743 1133 7 
