time files tags
0.041532 1070 1003 
0.053532 1199 1004 
0.040127 1436 1005 
0.043936 4245 1009 
0.041692 4247 1010 
0.041266 5018 1014 
0.039909 5599 1017 
0.039763 6842 1019 
0.041466 8632 1021 
0.040428 9835 1022 
0.042098 10267 1023 
0.051996 10694 1024 
0.051234 11491 1028 
0.052184 11562 1029 
0.05371 12119 1031 
0.04276 12875 1033 
0.052988 13518 1037 
0.044023 13977 1039 
0.042807 14115 1040 
0.042032 14816 1042 
0.042262 17960 1051 
0.040371 19392 1054 
0.069181 22370 1059 
0.039111 22454 1061 
0.039955 22465 1062 
0.043886 559 1004 
0.038015 793 1006 
0.041622 2607 1008 
0.042005 3812 1012 
0.041597 3939 1013 
0.042691 3969 1014 
0.040827 4117 1015 
0.041795 5143 1016 
0.058113 6119 1018 
0.040331 6281 1019 
0.043333 7995 1023 
0.067271 8879 1026 
0.056025 10651 1029 
0.042244 10909 1030 
0.068667 11196 1032 
0.04071 11763 1033 
0.040756 12118 1036 
0.041369 14808 1045 
0.041652 18540 1054 
0.041267 19122 1056 
0.04149 19453 1058 
0.040521 24540 1062 
0.041441 24772 1065 
0.040424 25101 1068 
0.043081 25684 1071 
0.040427 27135 1076 
0.041235 27284 1077 
0.042936 30100 1084 
0.040612 30104 1085 
0.039964 30156 1086 
0.039096 2147 1005 
0.042661 2349 1006 
0.040642 4097 1011 
0.041807 5337 1013 
0.039971 5482 1014 
0.04037 5584 1016 
0.040641 5854 1017 
0.051576 6780 1018 
0.051271 7670 1019 
0.039636 8831 1024 
0.083405 9856 1028 
0.04406 10070 1029 
0.041903 10182 1030 
0.046953 10359 1032 
0.04322 10962 1036 
0.042334 12460 1041 
0.0411 14852 1043 
0.041444 17024 1046 
0.039939 18068 1050 
0.041045 19330 1052 
0.052676 19614 1053 
0.050291 20697 1056 
0.051486 22918 1062 
0.042382 23707 1065 
0.041247 23900 1066 
0.04276 24749 1068 
0.049232 25091 1071 
0.041968 26528 1072 
0.041494 27293 1075 
0.039818 27451 1076 
0.042319 28054 1079 
0.043364 30658 1088 
0.040079 33110 1091 
0.043015 33868 1094 
0.057791 35310 1099 
0.040123 35356 1100 
0.039802 35797 1101 
0.039714 37392 1108 
0.040637 37741 1110 
0.040787 37777 1111 
0.041512 37924 1112 
0.044573 38573 1117 
0.04053 38827 1119 
0.040361 38912 1120 
0.040688 39013 1121 
0.042042 40030 1122 
0.041321 40883 1126 
0.040855 42003 1128 
0.043147 43652 1132 
0.043322 43745 1133 
0.042539 44087 1135 
0.044363 44651 1138 
0.042388 45261 1140 
0.044563 46723 1144 
0.041219 49679 1156 
0.041231 50309 1159 
0.057317 51570 1162 
0.056 51864 1163 
0.040016 53284 1164 
0.042343 53289 1165 
0.040388 54354 1167 
0.04038 54576 1168 
0.042687 54595 1169 
0.041129 55319 1170 
0.047656 57636 1174 
0.040248 60240 1182 
0.04072 60326 1183 
0.040415 61509 1186 
0.040341 62423 1190 
0.041048 62695 1191 
0.041592 63630 1195 
0.068008 63770 1196 
0.066821 64007 1197 
0.064824 64024 1198 
0.063698 66520 1207 
0.041963 68396 1210 
0.041141 68969 1212 
0.039704 69282 1214 
0.066653 71609 1218 
0.042119 71844 1219 
0.040958 72499 1222 
0.039666 72540 1223 
0.038628 72795 1224 
0.043013 74474 1227 
0.041406 75665 1231 
0.040942 76969 1237 
0.046844 78782 1243 
0.040989 79730 1247 
0.039601 80470 1251 
0.041052 80922 1253 
0.041688 84878 1266 
0.04219 85910 1272 
0.042095 86015 1273 
0.040343 86541 1274 
0.043985 87412 1275 
0.086 87937 1281 
0.066853 88009 1282 
0.041958 88330 1284 
0.043448 88487 1286 
0.039425 88668 1287 
0.041276 89979 1290 
0.039906 90379 1293 
0.049898 91033 1294 
0.054458 91165 1295 
0.052289 93241 1300 
0.039835 94319 1304 
0.042267 95023 1305 
0.040496 95243 1308 
0.03986 96697 1312 
0.040613 96849 1313 
0.041433 98002 1315 
0.041202 98852 1320 
0.07448 1317 1004 
0.077347 1431 1005 
0.069943 1967 1007 
0.0796 2231 1008 
0.07087 2353 1009 
0.068458 2519 1010 
0.071711 3257 1013 
0.070099 3288 1014 
0.043447 5340 1020 
0.062543 6301 1023 
0.076091 7383 1025 
0.070717 8692 1029 
0.045817 13 1002 
0.07216 1446 1003 
0.07409 1798 1004 
0.045113 4272 1012 
0.073762 5366 1018 
0.078348 5638 1019 
0.070563 5802 1020 
0.090862 7231 1025 
0.085847 7774 1026 
0.069616 10095 1029 
0.071601 10705 1031 
0.083986 11270 1033 
0.071271 12207 1034 
0.076265 15489 1045 
0.061815 16129 1047 
0.066155 17556 1051 
0.076314 18392 1053 
0.041339 18901 1056 
0.083626 19222 1057 
0.045562 19350 1058 
0.079849 19764 1061 
0.038674 23138 1070 
0.051191 23560 1074 
0.088292 23790 1075 
0.04189 25011 1078 
0.066283 27496 1085 
0.04586 28593 1088 
0.073205 29630 1090 
0.076644 29870 1091 
0.069538 30204 1092 
0.074937 32026 1100 
0.04002 33116 1106 
0.084888 33269 1108 
0.076711 34684 1110 
0.069992 36232 1113 
0.072918 39100 1122 
0.072918 40082 1123 
0.063018 40138 1124 
0.077065 42490 1126 
0.046088 44674 1130 
0.072763 45593 1133 
0.073818 45743 1134 
0.068628 49256 1143 
0.076051 50323 1148 
0.073178 50507 1149 
0.043088 51015 1151 
0.061547 51283 1154 
0.07223 51627 1156 
0.045356 53714 1163 
0.077269 55251 1167 
0.046726 56318 1168 
0.07818 56890 1169 
0.077564 58534 1174 
0.070276 59776 1176 
0.074024 61937 1177 
0.075395 63382 1181 
0.073492 64616 1183 
0.07263 66084 1188 
0.079434 67031 1189 
0.047665 67105 1190 
0.077824 67501 1192 
0.084135 67979 1194 
0.086612 68836 1196 
0.045752 69813 1199 
0.081505 71403 1205 
0.068987 71495 1206 
0.074128 73384 1210 
0.073801 73693 1212 
0.071078 76267 1219 
0.07354 77004 1221 
0.061996 77172 1223 
0.073267 77260 1224 
0.044991 78481 1225 
0.082518 81034 1229 
0.07574 81138 1230 
0.076213 81858 1234 
0.0681 82096 1235 
0.07704 83151 1237 
0.069168 83506 1238 
0.071719 84235 1241 
0.081817 84564 1243 
0.073127 84849 1244 
0.072976 84971 1245 
0.055314 85060 1246 
0.079375 85646 1247 
0.067489 87499 1252 
0.079238 88323 1254 
0.074436 88388 1255 
0.080856 89382 1257 
0.075636 90176 1262 
0.08012 90948 1265 
0.074512 91236 1266 
0.080774 92815 1270 
0.09096 92919 1271 
0.048759 93349 1272 
0.065103 93646 1274 
0.082289 93915 1275 
0.075833 94537 1280 
0.08315 96529 1283 
0.079647 96949 1284 
0.074003 98255 1288 
0.068727 98486 1289 
0.072562 98989 1290 
0.070655 99283 1292 
0.059476 291 1002 
0.0474 653 1004 
0.075085 2285 1010 
0.05733 2545 1011 
0.074143 3715 1013 
0.058124 4323 1016 
0.080026 4629 1017 
0.077783 6514 1021 
0.073898 7645 1025 
0.04492 8085 1027 
0.044414 8120 1028 
0.067232 9763 1030 
0.045169 10424 1032 
0.086525 10830 1034 
0.07795 11867 1037 
0.043169 12639 1040 
0.046806 12912 1042 
0.064943 13702 1043 
0.063138 16259 1051 
0.071156 17260 1053 
0.044811 17783 1054 
0.044825 18113 1055 
0.067195 18299 1057 
0.045213 18762 1058 
0.067016 18891 1059 
0.041519 19585 1061 
0.056109 21813 1068 
0.046892 22071 1069 
0.066958 23351 1075 
0.04048 24047 1077 
0.073754 26496 1083 
