time files tags answerfiles
0.003083 1070 1003 5
0.001346 1199 1004 1
0.003039 1436 1005 5
0.002766 4247 1010 5
0.00215 5018 1014 2
0.00136 5599 1017 1
0.002907 6842 1019 5
0.001871 8632 1021 2
0.002081 9835 1022 2
0.003676 10267 1023 9
0.001791 10694 1024 1
0.002803 11491 1028 4
0.003944 11562 1029 9
0.00256 12119 1031 2
0.002659 12875 1033 4
0.002754 13518 1037 4
0.002965 13977 1039 5
0.002887 14115 1040 5
0.001443 14816 1042 1
0.002116 17960 1051 2
0.001704 19392 1054 1
0.005988 22370 1059 9
0.002932 22454 1061 5
0.001677 559 1004 1
0.001333 793 1006 1
0.001346 3812 1012 1
0.001859 3939 1013 2
0.001784 4117 1015 1
0.001518 5143 1016 1
0.001527 6119 1018 1
0.001481 7995 1023 1
0.002139 8879 1026 1
0.00183 10651 1029 1
0.001331 10909 1030 1
0.002313 11196 1032 1
0.00152 11763 1033 1
0.001828 12118 1036 1
0.001779 14808 1045 1
0.001647 18540 1054 1
0.001484 19122 1056 1
0.001917 19453 1058 2
0.001976 24772 1065 1
0.001849 25101 1068 1
0.002179 25684 1071 2
0.001704 27284 1077 1
0.00228 30100 1084 2
0.012609 30104 1085 51
0.001416 2349 1006 1
0.001581 4097 1011 1
0.001803 5337 1013 1
0.001572 5482 1014 1
0.002021 5584 1016 2
0.002 7670 1019 1
0.001578 8831 1024 1
0.00252 9856 1028 1
0.001826 10070 1029 1
0.001672 10182 1030 1
0.001637 10359 1032 1
0.001597 10962 1036 1
0.001667 12460 1041 1
0.001781 14852 1043 1
0.003705 17024 1046 7
0.002185 18068 1050 2
0.003769 19330 1052 7
0.003559 19614 1053 7
0.001923 20697 1056 1
0.002135 22918 1062 2
0.003955 23707 1065 7
0.003671 23900 1066 7
0.001819 24749 1068 1
0.001632 25091 1071 1
0.001789 26528 1072 1
0.001977 27293 1075 2
0.002101 27451 1076 1
0.001753 28054 1079 1
0.001752 30658 1088 1
0.003826 33110 1091 7
0.004817 35310 1099 7
0.001896 35356 1100 1
0.003891 35797 1101 7
0.003778 37392 1108 7
0.002272 37741 1110 2
0.003015 37777 1111 4
0.001991 37924 1112 2
0.003067 38573 1117 3
0.002056 38827 1119 2
0.002029 38912 1120 1
0.003221 39013 1121 4
0.003253 40030 1122 3
0.001771 40883 1126 1
0.00184 42003 1128 1
0.003657 43652 1132 7
0.002874 44651 1138 3
0.001992 45261 1140 1
0.001608 46723 1144 1
0.003001 49679 1156 4
0.002025 50309 1159 1
0.00187 51570 1162 2
0.001751 51864 1163 1
0.001755 53284 1164 1
0.002453 54354 1167 2
0.002049 54576 1168 2
0.002928 54595 1169 3
0.002373 55319 1170 2
0.001806 57636 1174 1
0.0025 60240 1182 1
0.002215 61509 1186 2
0.002605 62423 1190 2
0.002067 62695 1191 1
0.001965 63630 1195 1
0.003505 63770 1196 2
0.003348 64007 1197 2
0.003791 66520 1207 3
0.001915 68396 1210 1
0.003777 68969 1212 7
0.003143 71609 1218 2
0.001919 71844 1219 1
0.002663 72499 1222 2
0.001684 72540 1223 1
0.001978 72795 1224 1
0.003317 74474 1227 4
0.001781 75665 1231 1
0.002586 76969 1237 2
0.002474 78782 1243 2
0.002359 79730 1247 2
0.002258 80470 1251 2
0.004296 80922 1253 7
0.00225 84878 1266 1
0.003801 85910 1272 7
0.002561 86015 1273 2
0.002302 86541 1274 1
0.001891 87412 1275 1
0.0025 87937 1281 1
0.002962 88009 1282 1
0.002739 88330 1284 2
0.004024 88487 1286 7
0.002555 88668 1287 2
0.002444 89979 1290 2
0.002855 90379 1293 3
0.002391 91033 1294 2
0.00248 93241 1300 2
0.002413 94319 1304 2
0.002759 95023 1305 2
0.00212 95243 1308 1
0.001759 96697 1312 1
0.002419 96849 1313 2
0.002219 98002 1315 2
0.002827 98852 1320 4
0.002471 1431 1005 1
0.002582 1967 1007 1
0.002064 2231 1008 1
0.002861 2353 1009 1
0.002577 2519 1010 1
0.002793 3257 1013 1
0.003605 3288 1014 2
0.002395 5340 1020 2
0.002712 6301 1023 1
0.002883 7383 1025 1
0.001372 13 1002 1
0.002103 1446 1003 1
0.004149 1798 1004 3
0.001519 4272 1012 1
0.004274 5366 1018 3
0.002602 5638 1019 1
0.002357 5802 1020 1
0.002543 7231 1025 1
0.002835 7774 1026 1
0.003802 10095 1029 3
0.002533 10705 1031 1
0.003901 11270 1033 3
0.003398 12207 1034 2
0.002435 15489 1045 1
0.002776 16129 1047 1
0.003067 17556 1051 2
0.001942 18901 1056 1
0.013932 19222 1057 24
0.002601 23138 1070 3
0.003175 23560 1074 1
0.002662 23790 1075 1
0.007565 25011 1078 24
0.004598 27496 1085 3
0.003839 28593 1088 5
0.008374 29630 1090 16
0.005071 29870 1091 5
0.005198 30204 1092 5
0.003061 32026 1100 1
0.008151 33116 1106 24
0.006382 33269 1108 16
0.002863 34684 1110 1
0.010827 36232 1113 24
0.007987 40082 1123 16
0.004365 42490 1126 2
