time files tags associatedfiles
0.104258 1070 1003 7 
0.194137 1199 1004 9 
0.205851 1436 1005 14 
0.529005 4245 1009 34 
0.595134 4247 1010 43 
0.43007 5018 1014 31 
0.691532 5599 1017 50 
0.749072 6842 1019 54 
0.845776 8632 1021 63 
0.80748 9835 1022 58 
1.16526 10267 1023 87 
1.38156 10694 1024 75 
1.81211 11491 1028 103 
1.63287 11562 1029 94 
1.5834 12119 1031 90 
1.30493 12875 1033 95 
1.82164 13518 1037 99 
1.80989 13977 1039 132 
1.91298 14115 1040 121 
1.60146 14816 1042 113 
1.70209 17960 1051 123 
2.16588 19392 1054 157 
3.73667 22370 1059 174 
2.44447 22454 1061 171 
0.098107 559 1004 5 
0.149931 793 1006 10 
0.250975 2607 1008 18 
0.416561 3812 1012 31 
0.432437 3939 1013 31 
0.354412 3969 1014 25 
0.763789 4117 1015 40 
0.444954 5143 1016 32 
1.0174 6119 1018 48 
0.633922 6281 1019 46 
1.03018 7995 1023 73 
1.69289 8879 1026 76 
1.29695 10651 1029 93 
1.36596 10909 1030 89 
0.006215 11196 1032 0 
1.1545 11763 1033 82 
1.21926 12118 1036 87 
1.65145 14808 1045 117 
2.02283 18540 1054 148 
1.97394 19122 1056 149 
2.19748 19453 1058 158 
2.98112 24540 1062 208 
2.7204 24772 1065 192 
2.92786 25101 1068 199 
2.31311 25684 1071 169 
2.94477 27135 1076 216 
3.05697 27284 1077 212 
3.11454 30100 1084 222 
0.032152 30104 1085 2 
0.191964 2147 1005 14 
0.185859 2349 1006 13 
0.503238 4097 1011 35 
0.622038 5337 1013 44 
0.90122 5482 1014 43 
0.415071 5584 1016 30 
0.728426 5854 1017 46 
0.951245 6780 1018 53 
1.12733 7670 1019 62 
0.659553 8831 1024 47 
1.52485 9856 1028 57 
1.17528 10070 1029 80 
0.952472 10182 1030 65 
1.36529 10359 1032 94 
1.12871 10962 1036 80 
1.36365 12460 1041 100 
0.778681 14852 1043 56 
1.85512 17024 1046 131 
1.86803 18068 1050 136 
2.87383 19330 1052 172 
2.78792 19614 1053 156 
2.78577 20697 1056 158 
3.34705 22918 1062 185 
2.31155 23707 1065 168 
2.81648 23900 1066 196 
3.00792 24749 1068 204 
2.61885 25091 1071 186 
2.81107 26528 1072 202 
2.72469 27293 1075 196 
3.13986 27451 1076 223 
3.22803 28054 1079 223 
3.57253 30658 1088 256 
1.11712 33110 1091 80 
3.51879 33868 1094 256 
4.90788 35310 1099 260 
4.04571 35356 1100 293 
3.86508 35797 1101 272 
1.22623 37392 1108 85 
2.86302 37741 1110 205 
4.24169 37777 1111 301 
3.68155 37924 1112 264 
4.28361 38573 1117 303 
4.68181 38827 1119 334 
3.87201 38912 1120 275 
4.53126 39013 1121 307 
4.44483 40030 1122 312 
4.30616 40883 1126 295 
4.31079 42003 1128 311 
4.68526 43652 1132 330 
4.61991 43745 1133 317 
4.93675 44087 1135 334 
4.54865 44651 1138 317 
4.84661 45261 1140 333 
4.70776 46723 1144 333 
5.14889 49679 1156 365 
4.90914 50309 1159 341 
1.83559 51570 1162 87 
2.22938 51864 1163 102 
5.4375 53284 1164 397 
5.0347 53289 1165 359 
5.60759 54354 1167 407 
5.44931 54576 1168 401 
5.6159 54595 1169 404 
5.87821 55319 1170 421 
5.89116 57636 1174 429 
5.88648 60240 1182 429 
6.23366 60326 1183 453 
5.99267 61509 1186 439 
6.26672 62423 1190 464 
6.65666 62695 1191 447 
6.51067 63630 1195 466 
10.7165 63770 1196 479 
10.8769 64007 1197 484 
9.73521 64024 1198 452 
11.5129 66520 1207 524 
6.88196 68396 1210 494 
7.56942 68969 1212 538 
7.31052 69282 1214 513 
10.5018 71609 1218 483 
7.39308 71844 1219 526 
7.50341 72499 1222 529 
7.21172 72540 1223 499 
7.52987 72795 1224 530 
7.84773 74474 1227 547 
7.55752 75665 1231 543 
8.02964 76969 1237 577 
7.48499 78782 1243 548 
7.9936 79730 1247 569 
7.91844 80470 1251 573 
4.6647 80922 1253 326 
3.40948 84878 1266 251 
8.23684 85910 1272 589 
8.78114 86015 1273 613 
8.15806 86541 1274 566 
5.18332 87412 1275 362 
17.6234 87937 1281 618 
14.596 88009 1282 623 
8.25575 88330 1284 612 
8.98515 88487 1286 630 
8.71755 88668 1287 621 
1.06232 89979 1290 76 
7.89876 90379 1293 555 
11.4337 91033 1294 626 
12.1555 91165 1295 663 
12.1119 93241 1300 665 
9.03032 94319 1304 653 
9.23047 95023 1305 647 
9.70468 95243 1308 672 
9.34933 96697 1312 692 
9.58509 96849 1313 691 
9.33632 98002 1315 649 
9.33534 98852 1320 658 
0.245368 1317 1004 10 
0.371712 1431 1005 14 
0.477515 1967 1007 21 
0.392523 2231 1008 14 
0.478405 2353 1009 19 
0.337315 2519 1010 23 
0.65509 3257 1013 27 
0.666439 3288 1014 29 
0.660342 5340 1020 43 
0.930316 6301 1023 41 
1.52358 7383 1025 55 
0.003555 13 1002 0 
0.23455 1446 1003 9 
0.53631 1798 1004 24 
0.309618 4272 1012 20 
1.174 5366 1018 43 
1.09486 5802 1020 44 
1.13311 7231 1025 44 
1.35309 7774 1026 49 
1.97328 10095 1029 87 
2.02525 10705 1031 86 
1.68637 11270 1033 93 
2.00052 12207 1034 80 
2.84886 15489 1045 118 
2.79731 16129 1047 111 
3.80661 17556 1051 160 
3.20912 18392 1053 154 
2.98215 18901 1056 156 
4.26193 19222 1057 165 
2.29093 19350 1058 149 
4.38692 19764 1061 174 
2.63977 23138 1070 178 
4.39405 23560 1074 194 
0.541954 23790 1075 21 
1.13676 25011 1078 82 
4.83167 27496 1085 217 
4.7544 28593 1088 246 
5.03061 29630 1090 219 
6.14203 29870 1091 230 
3.84942 30204 1092 220 
4.80246 32026 1100 223 
3.8155 33116 1106 257 
7.18084 33269 1108 260 
4.15831 34684 1110 232 
5.20025 36232 1113 300 
7.65733 39100 1122 315 
7.21108 40082 1123 303 
0.300421 40138 1124 13 
7.99359 42490 1126 333 
5.61372 44674 1130 312 
6.73013 45593 1133 331 
4.30431 45743 1134 173 
7.85084 49256 1143 355 
9.76641 50323 1148 380 
8.3181 50507 1149 393 
6.94928 51015 1151 396 
8.58586 51283 1154 388 
9.37664 51627 1156 412 
8.75095 53714 1163 396 
7.66141 55251 1167 415 
7.76535 56318 1168 398 
10.9688 56890 1169 438 
9.8506 58534 1174 402 
9.71473 59776 1176 426 
10.4581 61937 1177 423 
11.2833 63382 1181 448 
10.0331 64616 1183 424 
11.867 66084 1188 469 
12.3427 67031 1189 529 
7.39891 67105 1190 520 
12.2184 67501 1192 486 
12.4133 67979 1194 505 
13.5802 68836 1196 485 
8.00101 69813 1199 540 
11.6424 71403 1205 545 
13.8874 71495 1206 563 
12.5917 73384 1210 545 
13.1057 73693 1212 519 
12.5336 76267 1219 562 
7.2721 77004 1221 295 
9.63037 77172 1223 583 
12.8745 77260 1224 566 
1.37354 78481 1225 61 
15.6076 81034 1229 570 
5.29402 81138 1230 247 
14.0758 81858 1234 597 
9.71585 82096 1235 495 
2.10918 83151 1237 83 
17.5765 83506 1238 630 
14.3237 84235 1241 578 
14.6456 84564 1243 616 
14.6183 84849 1244 606 
14.7339 84971 1245 655 
14.7896 85060 1246 625 
13.8926 85646 1247 624 
6.75941 87499 1252 293 
12.8005 88323 1254 596 
16.0958 88388 1255 648 
15.5222 89382 1257 592 
16.1782 90176 1262 630 
14.9548 90948 1265 643 
14.8805 91236 1266 624 
16.1902 92815 1270 618 
0.586459 92919 1271 20 
14.6532 93349 1272 647 
12.3961 93646 1274 658 
16.778 93915 1275 672 
15.7773 94537 1280 670 
19.9568 96529 1283 701 
6.18746 96949 1284 246 
16.2238 98255 1288 703 
1.15448 98486 1289 51 
19.4574 98989 1290 727 
14.1606 99283 1292 662 
0.065278 291 1002 3 
0.108736 653 1004 6 
0.423843 2285 1010 18 
0.365389 2545 1011 17 
0.570803 3715 1013 24 
0.653874 4323 1016 33 
0.667445 4629 1017 41 
1.26775 6514 1021 49 
1.20919 7645 1025 47 
0.968226 8085 1027 60 
0.899787 8120 1028 58 
2.28461 9763 1030 73 
1.87892 10424 1032 86 
1.77474 10830 1034 73 
2.13781 11867 1037 87 
1.62477 12639 1040 108 
1.93942 12912 1042 121 
2.71648 13702 1043 118 
2.75271 16259 1051 127 
3.34637 17260 1053 138 
2.67495 17783 1054 143 
2.8382 18113 1055 133 
3.40383 18299 1057 130 
0.066935 18762 1058 2 
3.72062 18891 1059 162 
2.23409 19585 1061 147 
3.35365 21813 1068 169 
3.5592 22071 1069 185 
4.55886 23351 1075 174 
2.64241 24047 1077 193 
5.52021 26496 1083 218 
3.53299 26658 1085 199 
3.72921 27043 1086 214 
3.9131 27389 1088 227 
4.31712 31283 1096 255 
5.68292 31297 1097 236 
6.66088 31608 1099 237 
5.68694 32109 1101 212 
5.81655 33016 1105 249 
6.60604 34889 1109 247 
5.10994 35159 1110 260 
6.0605 35777 1113 271 
6.69186 36196 1116 280 
4.1547 37652 1118 147 
7.17828 38321 1120 306 
7.67111 40371 1126 298 
7.19334 41559 1128 307 
7.8102 42181 1130 326 
5.54946 43525 1134 337 
0.688012 45276 1138 43 
7.16872 45298 1139 342 
8.20049 46594 1140 373 
5.91045 46859 1141 338 
5.9702 47316 1143 366 
9.01909 48391 1147 376 
7.58587 48686 1150 354 
9.44116 51232 1153 369 
7.40155 52110 1158 365 
9.93971 52134 1159 414 
9.86234 53610 1163 412 
9.55674 54800 1168 399 
4.52988 55657 1169 179 
7.10877 56465 1173 427 
7.95281 57281 1176 445 
6.99442 58393 1181 405 
0.462881 59332 1183 17 
9.37828 60787 1187 401 
12.989 62159 1191 500 
4.70566 62718 1194 281 
11.9687 63666 1195 444 
8.11914 64048 1196 305 
7.38133 64749 1199 475 
14.4668 67613 1205 516 
12.6147 67855 1206 546 
12.4842 68279 1208 520 
9.46326 69938 1216 546 
13.6001 72357 1223 583 
8.17067 74081 1228 501 
4.67415 74451 1230 163 
8.63497 75274 1233 515 
10.4026 75465 1234 576 
9.33905 75664 1235 558 
10.8139 77362 1239 544 
13.6043 77773 1242 575 
4.42502 78091 1244 275 
9.31012 78268 1246 537 
12.7382 80636 1252 573 
13.8591 83826 1260 587 
