time files tags
0.04211 0 1 
2907.13 94 101 
4072.42 125 103 
4542.15 135 103 
9427.85 256 106 
9904.24 266 109 
23734.7 524 113 
23841.2 558 113 
35477 778 116 
35898.9 797 120 
44268.9 930 124 
0.042937 0 1 
1191.64 126 51 
1378.99 142 55 
2052.21 194 59 
3097.02 271 59 
6955.59 520 63 
8891.72 640 63 
12189.6 835 65 
14179.2 940 68 
44702.9 510 157 
52002.8 581 161 
62686.1 662 164 
0.06761 0 1 
4935.09 237 76 
11569.4 506 79 
21089.4 869 82 
23377.6 940 85 
25065.7 999 86 
0.04488 0 1 
26.114 8 76 
252.379 28 80 
7167.43 324 81 
7262.76 329 83 
8302.46 360 87 
10270.7 437 88 
12768.3 520 90 
12958.2 527 93 
16465.1 642 93 
25402.7 908 96 
28175.9 987 97 
0.063504 0 1 
3993.6 197 76 
6150.32 287 79 
8451.7 375 83 
9623.58 418 85 
11598.4 483 86 
15471.9 610 87 
17866.5 694 89 
20985.3 798 93 
22845.3 849 94 
27896.3 995 96 
0.061981 0 1 
0.044635 0 1 
0.044727 0 1 
0.112591 0 1 
0.082355 0 1 
0.071451 0 1 
0.080327 0 1 
0.050642 0 1 
0.089505 0 1 
1.95843 0 1 
0.263547 0 1 
0.338193 0 1 
0.291459 0 1 
0.27185 0 1 
0.237799 0 1 
0.260492 0 1 
0.254315 0 1 
