time files tags
0.063253 0 1 
7.56976 0 101 
2521.21 84 101 
6370.53 183 101 
0.043759 0 1 
7.82824 0 101 
2519.56 84 101 
6455.03 183 101 
10520.3 282 101 
14376 381 101 
18564.9 480 101 
22455.3 579 101 
26640.6 678 101 
30446 777 101 
34546.6 876 101 
0.056859 0 1 
14.3666 0 201 
34.8453 8 201 
536.458 17 201 
1447.48 26 201 
2578.02 35 201 
3910.48 44 201 
5300.68 53 201 
6866.08 62 201 
8342.97 71 201 
9542.58 80 201 
11207 89 201 
12319.2 98 201 
13994.1 107 201 
15214.7 116 201 
16604.1 125 201 
18137.8 134 201 
19683.6 143 201 
21212.8 152 201 
22595.3 161 201 
24371.8 170 201 
25783 179 201 
27349.1 188 201 
28329.9 197 201 
29608.4 206 201 
31013.6 215 201 
32591.6 224 201 
34578 233 201 
35421.3 242 201 
36602.6 251 201 
39391.6 260 201 
39625.6 269 201 
40975.4 278 201 
42733.9 287 201 
44198.5 296 201 
46007.2 305 201 
47708.5 314 201 
50803.8 323 201 
50343.9 332 201 
51584.6 341 201 
53073.3 350 201 
54283.6 359 201 
56005.8 368 201 
57635.1 377 201 
59317.1 386 201 
61397.3 395 201 
63449 404 201 
63420.5 413 201 
65875.2 422 201 
66693.5 431 201 
67971.6 440 201 
72468.4 449 201 
74882.6 458 201 
73033 467 201 
79675.8 476 201 
81086.5 485 201 
76258 494 201 
78389.4 503 201 
79833 512 201 
81585.1 521 201 
82224.9 530 201 
84096.9 539 201 
85530.2 548 201 
108279 557 201 
91355.1 566 201 
89983.6 575 201 
91021.1 584 201 
93067.5 593 201 
96875.6 602 201 
98911.1 611 201 
99048.3 620 201 
97801.8 629 201 
99167.8 638 201 
