time files tags numtags
0.057542 1070 1003 5
0.078894 1199 1004 7
0.070488 1436 1005 6
0.065269 4245 1009 6
0.056304 4247 1010 5
0.090573 5018 1014 9
0.079588 5599 1017 8
0.119745 6842 1019 11
0.141279 8632 1021 13
0.151712 9835 1022 15
0.120945 10267 1023 13
0.068253 10694 1024 7
0.096533 11491 1028 10
0.132268 11562 1029 12
0.151904 12119 1031 12
0.089911 12875 1033 8
0.100619 13518 1037 8
0.093936 13977 1039 6
0.133382 14115 1040 10
0.10748 14816 1042 11
0.116909 17960 1051 12
0.072604 19392 1054 8
0.137459 22370 1059 10
0.143396 22454 1061 14
0.098012 559 1004 10
0.072076 793 1006 7
0.038463 2607 1008 1
0.084095 3812 1012 8
0.091075 3939 1013 10
0.103482 3969 1014 10
0.054117 4117 1015 4
0.081857 5143 1016 8
0.084129 6119 1018 6
0.068039 6281 1019 7
0.051623 7995 1023 4
0.079803 8879 1026 8
0.040386 10651 1029 3
0.042741 10909 1030 2
0.088112 11196 1032 5
0.121239 11763 1033 13
0.113388 12118 1036 11
0.079417 14808 1045 9
0.066899 18540 1054 7
0.059678 19122 1056 5
0.130719 19453 1058 12
0.15478 24540 1062 12
0.111289 24772 1065 11
0.062951 25101 1068 6
0.062687 25684 1071 5
0.192679 27135 1076 15
0.041522 27284 1077 2
0.067879 30100 1084 7
0.057652 30104 1085 4
0.164303 2147 1005 16
0.103824 2349 1006 10
0.081982 4097 1011 8
0.104475 5337 1013 10
0.105815 5482 1014 10
0.144903 5584 1016 13
0.093224 5854 1017 9
0.056617 6780 1018 3
0.104822 7670 1019 10
0.101525 8831 1024 10
0.104579 9856 1028 5
0.101291 10070 1029 10
0.049792 10182 1030 3
0.088491 10359 1032 9
0.075272 10962 1036 7
0.092514 12460 1041 9
0.096389 14852 1043 10
0.072646 17024 1046 7
0.06758 18068 1050 7
0.076314 19330 1052 6
0.125917 19614 1053 10
0.068161 20697 1056 6
0.140966 22918 1062 13
0.086589 23707 1065 4
0.114799 23900 1066 7
0.075685 24749 1068 7
0.140027 25091 1071 13
0.102591 26528 1072 10
0.079587 27293 1075 6
0.066386 27451 1076 5
0.061335 28054 1079 6
0.045394 30658 1088 2
0.093845 33110 1091 4
0.113706 33868 1094 10
0.177651 35310 1099 8
0.083736 35356 1100 8
0.156154 35797 1101 9
0.139451 37392 1108 6
0.098796 37741 1110 10
0.096856 37777 1111 10
0.085515 37924 1112 7
0.069023 38573 1117 7
0.096595 38827 1119 7
0.071084 38912 1120 7
0.075106 39013 1121 6
0.080666 40030 1122 7
0.137039 40883 1126 13
0.077288 42003 1128 7
0.201934 43652 1132 12
0.118406 43745 1133 10
0.080803 44087 1135 6
0.125095 44651 1138 12
0.059459 45261 1140 4
0.062966 46723 1144 5
0.141941 49679 1156 12
0.075526 50309 1159 7
0.129251 51570 1162 13
0.114872 51864 1163 11
0.075846 53284 1164 7
0.10202 53289 1165 7
0.201896 54354 1167 14
0.075968 54576 1168 7
0.094072 54595 1169 6
0.056013 55319 1170 4
0.097383 57636 1174 10
0.087307 60240 1182 8
0.10535 60326 1183 7
0.078168 61509 1186 4
0.098871 62423 1190 10
0.08437 62695 1191 8
0.064227 63630 1195 7
0.097806 63770 1196 3
0.098208 64007 1197 7
0.172349 64024 1198 7
0.139814 66520 1207 10
0.07506 68396 1210 7
0.194982 68969 1212 9
0.1111 69282 1214 11
0.098205 71609 1218 9
0.071344 71844 1219 7
0.056365 72499 1222 5
0.084664 72540 1223 8
0.106973 72795 1224 10
0.150599 74474 1227 11
0.150745 75665 1231 14
0.137352 76969 1237 9
0.105358 78782 1243 10
0.077514 79730 1247 4
0.135768 80470 1251 8
0.184816 80922 1253 7
0.065272 84878 1266 6
0.190881 85910 1272 5
0.047407 86015 1273 4
0.116594 86541 1274 11
0.066535 87412 1275 6
0.110826 87937 1281 6
0.162581 88009 1282 9
0.089146 88330 1284 9
0.189504 88487 1286 4
0.059747 88668 1287 5
0.095833 89979 1290 10
0.087504 90379 1293 2
0.109731 91033 1294 11
0.086133 91165 1295 8
0.050748 93241 1300 4
0.123208 94319 1304 9
0.08137 95023 1305 6
0.081089 95243 1308 7
0.078367 96697 1312 7
0.171342 96849 1313 11
0.178841 98002 1315 9
0.155603 98852 1320 10
0.137238 1317 1004 8
0.170785 1431 1005 10
0.170077 1967 1007 11
0.122266 2231 1008 12
0.100022 2353 1009 6
0.123198 2519 1010 8
0.095076 3257 1013 6
0.130336 3288 1014 7
