time files tags foundfiles numtags
0.009722 1070 1003 0 8
0.004006 1199 1004 12 1
0.00727 1436 1005 0 2
0.03139 4247 1010 0 4
0.026368 5018 1014 0 4
0.023136 5599 1017 0 7
0.041848 6842 1019 0 3
0.052971 8632 1021 1 2
0.0174 9835 1022 85 1
0.036299 10267 1023 0 5
0.033687 10694 1024 0 9
0.053078 11491 1028 0 4
0.039321 11562 1029 0 8
0.018335 12119 1031 95 1
0.054859 12875 1033 0 5
0.052726 13518 1037 0 7
0.04734 13977 1039 0 9
0.021193 14115 1040 121 1
0.088087 14816 1042 1 2
0.06858 17960 1051 0 5
0.01075 19392 1054 0 5
0.166512 22370 1059 0 4
0.082893 22454 1061 0 4
0.007664 559 1004 0 6
0.006087 793 1006 0 3
0.0276 3812 1012 0 7
0.018511 3939 1013 0 6
0.017767 4117 1015 0 6
0.032421 5143 1016 0 7
0.011041 6119 1018 54 1
0.044461 7995 1023 0 3
0.039717 8879 1026 0 6
0.039163 10651 1029 0 8
0.032435 10909 1030 1 2
0.070362 11196 1032 0 4
0.047906 11763 1033 2 2
0.04914 12118 1036 0 3
0.018087 14808 1045 95 1
0.084266 18540 1054 0 3
0.058728 19122 1056 1 2
0.02449 19453 1058 141 1
0.033976 24772 1065 176 1
0.106108 25101 1068 0 9
0.099054 25684 1071 0 4
0.127359 27284 1077 2 2
0.087801 30100 1084 0 7
0.122422 30104 1085 0 5
0.012572 2349 1006 0 3
0.020359 4097 1011 1 2
0.008707 5337 1013 34 1
0.009436 5482 1014 42 1
0.018842 5584 1016 0 2
0.028305 7670 1019 0 9
0.052731 8831 1024 0 3
0.021219 9856 1028 79 1
0.056605 10070 1029 0 8
0.043669 10182 1030 0 5
0.063622 10359 1032 0 2
0.01381 10962 1036 70 1
0.018828 12460 1041 98 1
0.093875 14852 1043 0 3
0.030325 17024 1046 149 1
0.097934 18068 1050 0 4
0.071604 19330 1052 0 8
0.081356 19614 1053 0 8
0.084834 20697 1056 0 4
0.113959 22918 1062 0 3
0.141393 23707 1065 1 2
0.172063 23900 1066 1 2
0.102284 24749 1068 2 2
0.165046 25091 1071 0 3
0.038154 26528 1072 213 1
0.109239 27293 1075 0 4
0.148298 27451 1076 0 6
0.116004 28054 1079 0 7
0.127647 30658 1088 0 5
0.019997 33110 1091 0 7
0.280918 35310 1099 0 3
0.076977 35356 1100 0 9
0.119152 35797 1101 0 6
0.155866 37392 1108 1 2
0.139787 37741 1110 0 7
0.147447 37777 1111 0 6
0.213081 37924 1112 3 2
0.091713 38573 1117 0 3
0.082207 38827 1119 0 3
0.057734 38912 1120 0 4
0.167771 39013 1121 0 6
0.192619 40030 1122 0 3
0.027788 40883 1126 0 5
0.171767 42003 1128 0 4
0.183401 43652 1132 0 6
0.337408 44651 1138 0 3
0.281756 45261 1140 0 5
0.070685 46723 1144 359 1
0.251442 49679 1156 0 9
